word,trans
ውግእ, wg'
ኣቦ, 'abo
ገና, gäna
ዕስራን, ʕsran
ፈርኦን, fär'on
ኸሎ, Kälo
ሓላቑ, ħalaQu
መጹ, mäṣu
ደቀ, däqä
ወንጌል, wängel
ወጸ, wäṣä
ምዃኑ, mkʷanu
ዚነብሩ, zinäbru
ኣይሁድ, 'ayhud
ኣብዚ, 'abzi
ነብዪ, näbyi
ንዅሉ, nkʷlu
ኤርምያስ, 'ermyas
ዮሴፍ, yosef
ከቶ, käto
ነበረት, näbärät
ኣቦኡ, 'abo'u
ንኣኻ, n'aKa
ዓሰርተ, ʕasärtä
ገጽ, gäṣ
ክንዲ, kndi
ጳውሎስ, Pawlos
አብ, 'äb
ዓበይቲ, ʕabäyti
ክፉእ, kfu'
ወሰን, wäsän
ሰናይ, sänay
ሓለቓ, ħaläQa
ፍረ, frä
ኰይኑ, kʷäynu
ነተን, nätän
ሰፈር, säfär
ዘሎኹ, zäloKu
እያሱ, 'yasu
ህይወት, hywät
ሳሙኤል, samu'el
ሳዕ, saʕ
ብሰሪ, bsäri
ዘመን, zämän
ምሳኻ, msaKa
መልኣኽ, mäl'aK
ቅድሚኡ, qdmi'u
ዀይኑ, kʷäynu
መዓልትታት, mäʕalttat
ኢድካ, 'idka
ቤቱ, betu
ብሓድሽ, bħadš
ናባይ, nabay
ምስቶም, mstom
ብልዒ, blʕi
ታቦት, tabot
ዮርዳኖስ, yordanos
ኣላ, 'ala
ዚሐርር, ziħärr
ኣምላኽና, 'amlaKna
ሞተ, motä
በዓል, bäʕal
ኪዳን, kidan
መጺኡ, mäṣi'u
ምስክር, mskr
ብርቱዕ, brtuʕ
ወለዶ, wälädo
ኸደ, Kädä
ንእስራኤል, n'sra'el
ኣቢሉ, 'abilu
ዕዮ, ʕyo
ኣቲ, 'ati
ተስፋ, täsfa
መበል, mäbäl
ዘረባ, zäräba
ሹድሽተ, šudštä
ኽልተ, Kltä
ወሲዱ, wäsidu
ፍርዲ, frdi
ብናይ, bnay
ንዳዊት, ndawit
ውሉድ, wlud
ምሳይ, msay
ዜብሉ, zeblu
ስፍራ, sfra
ኣነውን, 'anäwn
ኣንስቲ, 'ansti
ኣምላኽኩም, 'amlaKkum
ንዘለኣለም, nzälä'aläm
ኣማልኽቲ, 'amalKti
ዓይኒ, ʕayni
ህዝብን, hzbn
መሊሱ, mälisu
ኣብርሃም, 'abrham
ካህናት, kahnat
ኣኼባ, 'aKeba
ልዕል, lʕl
ሽሕን, šħn
ኣቦይ, 'aboy
ኦም, 'om
ሓቂ, ħaqi
ንሰብ, nsäb
ጻድቕ, ṣadQ
ብሩር, brur
ኣሮን, 'aron
ሌዋውያን, lewawyan
ለይቲ, läyti
ህዝበይ, hzbäy
ንመስዋእቲ, nmäswa'ti
ብዅሉ, bkʷlu
ማሕበር, maħbär
ተዛረቦ, täzaräbo
በላ, bäla
ምብራቕ, mbraQ
ደአ, dä'ä
ብህይወት, bhywät
ኢኺ, 'iKi
ነዛ, näza
ዘለኣለም, zälä'aläm
መዛሙርቱ, mäzamurtu
ንቤት, nbet
ኽፉእ, Kfu'
ኣኽራን, 'aKran
ኻህናት, Kahnat
ምሳታቶም, msatatom
ብርሃን, brhan
ርስቲ, rsti
ቅድሜኻ, qdmeKa
ስሙ, smu
ንሱውን, nsuwn
ጸሓይ, ṣäħay
ማያት, mayat
እዞም, 'zom
1ይ, 1y
ደጊም, dägim
ንዂሉ, nkʷilu
ንዘለአለም, nzälä'äläm
መዝሙር, mäzmur
በለኒ, bäläni
ብሓደ, bħadä
ብሓዊ, bħawi
ኢላ, 'ila
ኢደይ, 'idäy
ዓሌት, ʕalet
ነብያት, näbyat
መሮር, märor
ጽድቂ, ṣdqi
ምድርን, mdrn
ጽዮን, ṣyon
ልዕሊኡ, lʕli'u
ኸረን, Kärän
እከይ, 'käy
እብለኩም, 'bläkum
ወርቅን, wärqn
ተንሲኡ, tänsi'u
ምሳኻትኩም, msaKatkum
ኸለዉ, Käläwu
ኪዀኑ, kikʷänu
ቀደም, qädäm
ልቡ, lbu
እምብኣርሲ, 'mb'arsi
ብመዓልቲ, bmäʕalti
ምርኻብ, mrKab
ኣታኽልቲ, 'ataKlti
ተዛረቦም, täzaräbom
ርኹስ, rKus
መጺኦም, mäṣi'om
እንስሳ, 'nssa
ዕስራ, ʕsra
ዘይቲ, zäyti
ቅድመይ, qdmäy
ገይሮም, gäyrom
ገንሸል, gänšäl
ዂሎም, kʷilom
ኣሎና, 'alona
እወ, 'wä
ሓይሊ, ħayli
2ይ, 2y
ንሓደ, nħadä
ወጻኢ, wäṣa'i
ባርያ, barya
ጴጥሮስ, PeTros
ምስቲ, msti
ገበሩ, gäbäru
ኤፍሬም, 'efrem
ኣበይ, 'abäy
ጥበብ, Tbäb
ነገሰ, nägäsä
ሞኣብ, mo'ab
ሀቦ, häbo
ረኣየ, rä'ayä
ደድሕሪ, dädħri
ንኣኻትኩም, n'aKatkum
ሰማያት, sämayat
መልእኽቲ, mäl'Kti
ኣሶር, 'asor
ኣምላኸይ, 'amlaKäy
ተቐመጠ, täQämäTä
ናባኻ, nabaKa
ትእዛዝ, t'zaz
ኣተወ, 'atäwä
ኣብዛ, 'abza
ሒዙ, ħizu
ጸልማት, ṣälmat
ጸጋ, ṣäga
ሲቃል, siqal
ርኤኹ, r'eKu
ክብሪ, kbri
ወገን, wägän
ካህን, kahn
ናብቶም, nabtom
ዚመጽእ, zimäṣ'
ማለት, malät
ሹም, šum
ዘለዋ, zäläwa
ቤተ, betä
በጃኻ, bäǧaKa
ንኣታቶም, n'atatom
ኣሎኻ, 'aloKa
ንብዘሎ, nbzälo
ኣነስ, 'anäs
ብዓል, bʕal
ንፋስ, nfas
ጽሩይ, ṣruy
ኣቦታቶም, 'abotatom
ውሽጢ, wšTi
ናይቲ, nayti
በልኩ, bälku
ነፍሰይ, näfsäy
ኸምቲ, Kämti
ኣቓሑ, 'aQaħu
ሰይፊ, säyfi
ብዘላ, bzäla
መወዳእታ, mäwäda'ta
ገይረ, gäyrä
ማሕደር, maħdär
ብንያም, bnyam
ንዂሎም, nkʷilom
ጐይታና, gʷäytana
ብሩርን, brurn
ገንዘብ, gänzäb
ዘርኢ, zär'i
በለት, bälät
ኲላቶም, kʷilatom
ንጉስን, ngusn
አሎኹም, 'äloKum
ኸምኡ, Käm'u
ዶብ, dob
ለሰ, läsä
ምሉእ, mlu'
ንምድሪ, nmdri
ግዳ, gda
ንእሽቶ, n'što
መሳፍንቲ, mäsafnti
ረሲኣን, räsi'an
ዝተረፈ, ztäräfä
ዝፋን, zfan
መለሰሉ, mäläsälu
ብኡብኡ, b'ub'u
መለሰ, mäläsä
ሓሶት, ħasot
ኪድ, kid
ግራት, grat
ይነብር, ynäbr
ደቁን, däqun
ደቡብ, däbub
ዓው, ʕaw
ግበር, gbär
ሰምዔ, sämʕe
መከራ, mäkära
ህዝቅያስ, hzqyas
ኣስራዚ, 'asrazi
ካልኦት, kal'ot
ኣባይቲ, 'abayti
ጌርካ, gerka
ኣባጊዕ, 'abagiʕ
ኢሳይያስ, 'isayyas
መለኸት, mäläKät
ብስም, bsm
ልበይ, lbäy
ምስጋና, msgana
ከደ, kädä
ስቕ, sQ
ዚነብር, zinäbr
ኻልእ, Kal'
ድዑል, dʕul
ኣራዊት, 'arawit
ንዅሎም, nkʷlom
መንጽር, mänṣr
ሰሜን, sämen
ኢልኩም, 'ilkum
ንሓዋሩ, nħawaru
ሓሙሽተን, ħamuštän
ሀቦም, häbom
ሓድሽ, ħadš
በለቶ, bäläto
ገበሮ, gäbäro
ኰይኖም, kʷäynom
ተጽሒፉ, täṣħifu
ኻልኣይ, Kal'ay
ነገርዚ, nägärzi
እምነት, 'mnät
ቅዱሳን, qdusan
ካባይ, kabay
ዕጨይቲ, ʕČäyti
ኣይነበረን, 'aynäbärän
ሰላሳን, sälasan
ራእይ, ra'y
ቃላት, qalat
ምሸት, mšät
ከከም, käkäm
ኣርብዓ, 'arbʕa
ስምኦን, sm'on
ክልተን, kltän
ምሕረት, mħrät
ደበና, däbäna
ኣሮንን, 'aronn
ኣዋልድ, 'awald
ወጹ, wäṣu
ሴፍ, sef
ይኸውን, yKäwn
ዮናታን, yonatan
ንጹህ, nṣuh
ገጹ, gäṣu
ካባታቶም, kabatatom
ብኢድ, b'id
ሰምዑ, sämʕu
ዘሎኻ, zäloKa
ስምዑ, smʕu
ነይሩ, näyru
ርሑቕ, rħuQ
ምርኮ, mrko
ካብዚ, kabzi
ሹማምቲ, šumamti
ዘበሉ, zäbälu
መዓልትን, mäʕaltn
ደየበ, däyäbä
ተቐመጡ, täQämäTu
ሰማርያ, sämarya
ቅድም, qdm
ዘሎኹም, zäloKum
ዮሃንስ, yohans
ጽሑፍ, ṣħuf
እናበሉ, 'nabälu
መዓት, mäʕat
ኸመይ, Kämäy
በዅሪ, bäkʷri
ዙርያ, zurya
ሰማይን, sämayn
ጸዊዑ, ṣäwiʕu
ኹሉ, Kulu
መቓብር, mäQabr
ብርግጽ, brgṣ
ልቦም, lbom
ፋሕ, faħ
ምናሴ, mnase
ሰበይቱ, säbäytu
ምስሊ, msli
ወደይ, wädäy
ዝበሎ, zbälo
እምበኣርሲ, 'mbä'arsi
ዓመቱ, ʕamätu
ኣለው, 'aläw
ዚኽእል, ziK'l
ኵላ, kʷla
ንነፍሲ, nnäfsi
ይብሉ, yblu
ወጺኡ, wäṣi'u
መንደቕ, mändäQ
እተዛረቦ, 'täzaräbo
ንጽብሒቱ, nṣbħitu
ተንስእ, täns'
ብዘለዉ, bzäläwu
ረሲእ, räsi'
ምድሓን, mdħan
ኣባኻትኩም, 'abaKatkum
ፍቕሪ, fQri
አሎና, 'älona
ኣሕዋት, 'aħwat
እዘን, 'zän
ናብኣ, nab'a
ጐይታየ, gʷäytayä
ሰላሳ, sälasa
ዝራብዕ, zrabʕ
ኣእዋም, 'a'wam
ኻብቲ, Kabti
ብዂሉ, bkʷilu
ጽዋእ, ṣwa'
ወይንን, wäynn
ዝኣዘዞ, z'azäzo
ዝተረፉ, ztäräfu
ነፍሱ, näfsu
ኵለን, kʷlän
ቅድሚኦም, qdmi'om
ፍልጠት, flTät
ጸሎት, ṣälot
ኣምላኽን, 'amlaKn
ላዕሊ, laʕli
ብመንፈስ, bmänfäs
ተመልሰ, tämälsä
ኵላቶም, kʷlatom
ም, m
ክንዳኡ, knda'u
ኣባኻ, 'abaKa
ሓምሳ, ħamsa
በደል, bädäl
ልኡኻት, l'uKat
ሊቀ, liqä
ደሃይ, dähay
ኲለን, kʷilän
የሩሳሌምን, yärusalemn
ምሳና, msana
ስማዕ, smaʕ
ኤሳው, 'esaw
ጀሚሩ, ǧämiru
ማእሰርቲ, ma'särti
ፍርሃት, frhat
የብሉን, yäblun
ሰንበት, sänbät
እልል, 'll
ኤረ, 'erä
ዚገብር, zigäbr
ኣብቶም, 'abtom
መጓሰ, mägʷasä
ሓያሎ, ħayalo
እግሪ, 'gri
ብክርስቶስ, bkrstos
የሮብዓም, yärobʕam
ሙሴን, musen
ብለይቲ, bläyti
ብእምነት, b'mnät
ቅኑዕ, qnuʕ
እተገብረ, 'tägäbrä
መሬት, märet
በል, bäl
ሰፈሩ, säfäru
ሓዉ, ħawu
ኣቤሴሎም, 'abeselom
ኣንበሳ, 'anbäsa
ኣለዎ, 'aläwo
ሳብዐይቲ, sabʕäyti
ኣቦኻ, 'aboKa
ኪብል, kibl
