word,count,trans
ተለወጠ, 1, täläwäTä
ሎምስ, 1, loms
ተቖጻጸ, 1, täQoṣaṣä
ደንጉየ, 1, dänguyä
ክመኽረካ, 1, kmäKräka
ግዳ, 1, gda
ክነግረካ, 1, knägräka
ምሸት, 1, mšät
ስምዓኒ, 1, smʕani
እምነቱ, 1, 'mnätu
ይበርህ, 1, ybärh
ዝተሸርበት, 1, ztäšärbät
ምፍታው, 1, mftaw
ክትጥለም, 1, ktTläm
ጎይትኦም, 1, goyt'om
ዕረ, 1, ʕrä
ዝሑው, 1, zħuw
ብሄራት, 1, bherat
ዝፈልጣ), 1, zfälTa)
ምሉእ, 1, mlu'
ሕጅስ, 1, ħǧs
ብምኻድ, 1, bmKad
ሓላል, 1, ħalal
ገዛይ, 1, gäzay
ክተትየ], 1, ktätyä]
ዝዓበየት, 1, zʕabäyät
ብርሃነ, 1, brhanä
ግርማኺ, 1, grmaKi
ከምሕረላ, 1, kämħräla
በዛ, 1, bäza
ጾራ, 1, ṣora
ወይዘሮ, 1, wäyzäro
ሰትየ’ዶ, 1, sätyä’do
ክንሰፍራ, 1, knsäfra
ንብረቱ, 1, nbrätu
ኢትዮጲያ, 1, 'ityoPiya
እተዊ, 1, 'täwi
ክደነኒ, 1, kdänäni
ኣበይ, 1, 'abäy
ፍቕር’ዩ, 1, fQr’yu
እንደሞ, 1, 'ndämo
ባህታ, 1, bahta
ብስለት, 1, bslät
ምሳካ, 1, msaka
ንጣብ, 1, nTab
ተፋሊጠ, 1, täfaliTä
ከምዚካ, 1, kämzika
ንዕኡ’ዩ, 1, nʕ'u’yu
ሓባር, 1, ħabar
ግዜ, 1, gze
መቐረት, 1, mäQärät
ብስኒት, 1, bsnit
ክኢላ, 1, k'ila
ቁናኖይ, 1, qunanoy
ከኣሎ, 1, kä'alo
ጽልኣያ, 1, ṣl'aya
ሳሚ, 1, sami
ወራራት, 1, wärarat
ዲዩ, 1, diyu
ዘሳኒ, 1, zäsani
ልባ, 1, lba
ኣይሕመሞ, 1, 'ayħmämo
እስከባ, 1, 'skäba
ንኸይድ, 1, nKäyd
በዚሕኒሎ, 1, bäziħnilo
ተመስገን, 1, tämäsgän
ታይ, 1, tay
ንገርኒ, 1, ngärni
ሓውሰሉ, 1, ħawsälu
ሽታ, 1, šta
ከናፍራ, 1, känafra
ዘለዋ, 1, zäläwa
ድሕሪት, 1, dħrit
ኣጽኒዕና’ወ, 1, 'aṣniʕna’wä
እዋን, 1, 'wan
ሽምዓ, 1, šmʕa
ንበይኑ, 1, nbäynu
ከጸናንዓ, 1, käṣänanʕa
ገጻ, 1, gäṣa
ንምኽረይ, 1, nmKräy
ከፍቅረኒ, 1, käfqräni
ሰሰልሰለይ, 1, säsälsäläy
ክነብረኒ, 1, knäbräni
ጸማም, 1, ṣämam
ቐያሕ, 1, Qäyaħ
ውጹእ, 1, wṣu'
ክኸይድ, 1, kKäyd
ወዲእኻዮ, 1, wädi'Kayo
ሞይቁኒ, 1, moyquni
ኣፍሪቃ, 1, 'afriqa
ምዉቕ, 1, mwuQ
ሓበሻ, 1, ħabäša
ብጽሒ, 1, bṣħi
ዋጋ, 1, waga
ደሃያ, 1, dähaya
ሃገርክንሽሕን, 1, hagärknšħn
(ነዛ, 1, (näza
ኣድኪምዋ, 1, 'adkimwa
ይከኣሎ, 1, ykä'alo
ኣጨኒቕኒ, 1, 'aČäniQni
በይንኻ, 1, bäynKa
ሓዘለይ, 1, ħazäläy
እንዳተጎዳእኻ, 1, 'ndatägoda'Ka
ቀረባ, 1, qäräba
ምጭውቲ, 1, mČwti
በሉ, 1, bälu
ሕቕፎኣብ, 1, ħQfo'ab
ሃብኒ, 1, habni
ዉዕቁዕ, 1, wuʕquʕ
ስእሊ, 1, s'li
ተጓይየ, 1, tägʷayyä
ትልለ, 1, tllä
ዘይርስዖ, 1, zäyrsʕo
ኣነ, 1, 'anä
ሕቖአን, 1, ħQo'än
የቐኔለይ, 1, yäQäneläy
በለጸት, 1, bäläṣät
መቂሩ, 1, mäqiru
ቀጸለ, 1, qäṣälä
ንዝሓለፉንዘለና, 1, nzħaläfunzäläna
ዘይብልኪ, 1, zäyblki
ነብስኻየ, 1, näbsKayä
መንነት, 1, männät
ትኪ, 1, tki
ናይዛ, 1, nayza
ኣይተረፍኩን, 1, 'aytäräfkun
ድማ, 1, dma
ወግሐ, 1, wägħä
ዓይና, 1, ʕayna
ኹን, 1, Kun
እዝኒ, 1, 'zni
ሒዛ, 1, ħiza
ሳዕ, 1, saʕ
ክልተ, 1, kltä
ዝኾስኮሶ, 1, zKoskoso
[ክተትየ, 1, [ktätyä
በሎ, 1, bälo
ታይሞ, 1, taymo
ትርጉም, 1, trgum
ስዉር, 1, swur
መስመስታ, 1, mäsmästa
ኣጽኒዕና, 1, 'aṣniʕna
ገብሩ, 1, gäbru
ኾን, 1, Kon
ሕውነትና, 1, ħwnätna
ኽብረት, 1, Kbrät
ዘይጠዓምናዮ, 1, zäyTäʕamnayo
ቓላ, 1, Qala
በሉለይ, 1, bäluläy
ዘይጠሓሊት, 1, zäyTäħalit
ከይከይድ, 1, käykäyd
ክጸልእ), 1, kṣäl')
ብመንፈስ, 1, bmänfäs
ወዘራዝሮ, 1, wäzärazro
ኢና”, 1, 'ina”
ተስፋይ, 1, täsfay
ውሽጥኻ, 1, wšTKa
ቬሎ, 1, velo
(ሕዛብ, 1, (ħzab
ይንበር, 1, ynbär
ተሳቕየ, 1, täsaQyä
ዝበካ, 1, zbäka
ታሓላል, 1, taħalal
ደበና?, 1, däbäna?
ተጣዪሰ, 1, täTayisä
ትዝመኽረካ, 1, tzmäKräka
ከተሳሊ, 1, kätäsali
ሳዕሳዕካ, 1, saʕsaʕka
ፍትውቲ, 1, ftwti
ንፍትሒ, 1, nftħi
ኩን, 1, kun
እቶ, 1, 'to
ዒላመይ, 1, ʕilamäy
ነበረ, 1, näbärä
ደረተይ, 1, därätäy
የለን), 1, yälän)
ኩዒተ, 1, kuʕitä
ዘይጭምረረ, 1, zäyČmrärä
ተመኔ, 1, tämäne
ጉርሒ, 1, gurħi
ብድድ, 1, bdd
ኔሩ, 1, neru
ዘይፈልቶ, 1, zäyfälto
ውቃበይ, 1, wqabäy
ገይዱ, 1, gäydu
ተቐይሩ, 1, täQäyru
ደኣ, 1, dä'a
ርሒቕኪ, 1, rħiQki
ተሰናቢተ, 1, täsänabitä
ክባኻየ, 1, kbaKayä
ርሑቕ, 1, rħuQ
ጸብሐ, 1, ṣäbħä
ናይታ, 1, nayta
መዓስ, 1, mäʕas
ክትኣቱ, 1, kt'atu
ድፍዐይ, 1, dfʕäy
ወላዲት, 1, wäladit
ኣብቲ, 1, 'abti
ተፈጢሩ, 1, täfäTiru
ዝበሉ, 1, zbälu
