List,Map1
געשאַפֿן ,geʃafn 
לעבן,lebn
רײד ,rejd 
עפּעס,epes
ליטעראַטור,literatur
פֿלעגן ,flegn 
דורך,durx
בלױז,blojz
קעגן,kegn
אָנגעשריבן ,ongeʃribn 
לײענען,lejenen
פֿאַראַן,faran
מאַן,man
יעדע,jede
ברענגען,brengen
מאַכן,maxn
צי,t͡si
גלײַך,glajx
יעדן ,jedn 
פֿאַרגעסן,fargesn
אָט,ot
אַלע,ale
פֿאַרשטײן,farʃtejn
שרײַבער,ʃrajber
פֿירן,firn
געענטפֿערט ,geentfert 
לוזשע,luʒe
בלױדזשינס,blojd͡ʒins
יאָזש,joʒ
געאַרבעט ,gearbet 
קינדער,kinder
פֿאָרגעקומען ,forgekumen 
געמאַכט,gemaxt
װעל,vel
באַשלאָסן,baʃlosn
באַמערקט ,bamerkt 
גוואַדזשע,guuad͡ʒe
אײגענע,ejgene
עלטערן,eltern
מיך,mix
יוגנט,jugnt
נאַכט,naxt
יעדעס ,jedes 
געזעלשאַפֿט,gezelʃaft
אַמעריקע,amerike
נאָמען,nomen
גוט,gut
פֿינף,finf
געלעבט,gelebt
צענטער,t͡senter
באַפֿעלקערונג,bafelkerung
דערפֿאַר,derfar
זעלבע ,zelbe 
פֿלעגט ,flegt 
שטעלט ,ʃtelt 
ייִדישקייט,jidiʃkiit
געשפּילט,geʃpilt
בילד,bild
קלאָר,klor
דערװײַל,dervajl
נײַעם,najem
דערמאָנט ,dermont 
סטרוזש,struʒ
אָדער,oder
אינעם,inem
איצט,it͡st
פֿאַל ,fal 
האָבן,hobn
אונטערן,untern
פֿריִער,frier
אַנדער,ander
ליבע,libe
האַנט,hant
זשורנאַל,ʒurnal
געלט,gelt
װיכטיקע ,vixtike 
פֿאָרן,forn
אַן,an
רעגירונג,regirung
קומען,kumen
זיכער,zixer
באַלד,bald
װײניקער,vejniker
מוזיק,muzik
צײַטונג,t͡sajtung
געבױרן,gebojrn
מיר,mir
געשטאַנען,geʃtanen
פֿיר,fir
אײנע,ejne
לױט,lojt
זשאַבע,ʒabe
צײַט,t͡sajt
אױפֿן,ojfn
אופֿן,ufn
לעצטע ,let͡ste 
געגעבן,gegebn
װעג,veg
באַקאַנטע ,bakante 
געשטאָרבן,geʃtorbn
אײנער,ejner
דערקלערט ,derklert 
אַרױס,arojs
אָלמערט,olmert
מײנט ,mejnt 
צוליב,t͡sulib
געקוקט,gekukt
אַלײן,alejn
האָט,hot
גאַנצע,gant͡se
אַלטע,alte
צװײ,t͡svej
אָנהײב,onhejb
קײנער,kejner
װער,ver
מיליאָן,miljon
קאָן,kon
װעלן,veln
זאַך,zax
גענומען,genumen
יענע ,jene 
מײַנע,majne
גײן,gejn
זײער,zejer
װיסן,visn
װײַזט ,vajzt 
שטאָט,ʃtot
אַלעמען ,alemen 
מיטן,mitn
דערמאָנען ,dermonen 
װידער,vider
איר,ir
צוזאַמען,t͡suzamen
דאָס,dos
צײַטן,t͡sajtn
יענעם ,jenem 
בלײַבן,blajbn
אַמאָל,amol
אײן,ejn
פֿאַרבליבן ,farblibn 
ענגליש,engliʃ
דזשינס,d͡ʒins
אַזױ,azoj
פֿאַרשידענע ,farʃidene 
לײענער,lejener
נײַע,naje
האַלטן,haltn
זאָגן,zogn
מאַכט,maxt
סאָװעטישע,sovetiʃe
געפֿירט ,gefirt 
געזען,gezen
װילן,viln
אונטער,unter
װוּ,vu
דערצו,dert͡su
צװישן,t͡sviʃn
זאָל,zol
עס,es
דאָרט,dort
סאָװעטישער ,sovetiʃer 
דעם,dem
געהאַט,gehat
ערשטן,erʃtn
דאָרטן,dortn
שװער,ʃver
מענטש,ment͡ʃ
באַקומען,bakumen
גײט ,gejt 
זשוליק,ʒulik
אַלט,alt
צאָל,t͡sol
פּונקט,punkt
ציל ,t͡sil 
גאָר,gor
לאָזט ,lozt 
פֿאָר ,for 
זשוק,ʒuk
גיט,git
קינסטלער,kinstler
אױסשטעלונג,ojsʃtelung
װײסט,vejst
װײניק,vejnik
פּיעסע,pjese
הײסט ,hejst 
װאַרשע,varʃe
באַזונדערס ,bazunders 
סעפּטעמבער,september
צענדליקער ,t͡sendliker 
באַװיזן ,bavizn 
שטעלן,ʃteln
ביכער,bixer
דאַן ,dan 
זענען,zenen
אַרום,arum
פֿאַרשטאַנען,farʃtanen
געדאַרפֿט,gedarft
אָן,on
זען,zen
שטאַרק,ʃtark
פּאָר,por
געװיסע ,gevise 
פֿאָרװערטס,forverts
אים,im
מאָסקװער,moskver
הײַנטיקע ,hajntike 
געבראָדזשעט,gebrod͡ʒet
אַז,az
זאָגט,zogt
דערצײלן,dert͡sejln
װעגן,vegn
נאָכן,noxn
װיל,vil
ניגלעזשע,nigleʒe
געשען,geʃen
טאַקע,take
געשריבן,geʃribn
יאָ,jo
הערן,hern
מיניסטער,minister
