list, Map1
אֶת־אֶסְתֵר, 'et־'ester
לְקַיֵם, lqayem
כִּי־נָפַל, kiy־nafal
מֵאוֹֹת, me'wot
בִּדְבַר, bidvar
יָבוֹֹא, yavwo'
וְהַשָׂרִים, whaSariym
כְּטוֹֹב, kṭwov
כַּטוֹֹב, kaṭwov
בֵּית, beyt
יֵצֵא, yeṣe'
יָצָא, yaṣa'
בְּנֵי־הָמָן, bney־haman
בְשֹׂנְאֵיהֶם, vSon'eyhem
בְּשֹׂנְאֵיהֶם, bSon'eyhem
שֶׁבַע, ševaɣ
שָׁלְחוּ, šalħ
הֵגָי, hegay
הֵגַי, hegay
וַיָשֶׂם, wayaSem
שְׁנֵים־עָשָׂר, šneym־ɣaSar
הַזָהָב, hazahav
וָעִיר, waɣiyr
וְעִיר, wɣiyr
אֶת־וַשְׁתִי, 'et־waštiy
הָרְגוּ, harg
הָרָגוּ, harag
[הַיְהוּדִים], [hayhdiym]
וְתֵעָשׂ, wteɣaS
אֶת־כָּל־הַיְהוּדִים, 'et־kal־hayhdiym
עַד־חֲצִי, ɣad־ħaṣiy
שָׂק, Saq
שַׂק, Saq
בֵּית־הַמֶלֶךְ, beyt־hamelex
אֲלֵיהֶם, 'aleyhem
כִּכְתָבָה, kixtavah
אֶל־מָרְדֳכָי, 'el־mardaxay
וּלְאַבֵּד, l'abed
וַיַגִידוּ, wayagiyd
יְקָר, yqar
וַיִתָלוּ, wayital
וַיִתְלוּ, wayitl
וְיִתְלוּ, wyitl
הַזֹאת, hazo't
אַרְבָּעָה, 'arbaɣah
שְׁנֵי, šney
שֵׁנִי, šeniy
עַמוֹֹ, ɣamwo
עִמוֹֹ, ɣimwo
נִקְהֲלוּ, niqhal
הָרִאשׁוֹֹן, hari'šwon
בְּעֵינֶיךָ, bɣeyneyxa
אֶל, 'el
פָּרַס־וּמָדַי, paras־maday
פָרַס־וּמָדַי, faras־maday
הָרֶכֶשׁ, harexeš
אַמָה, 'amah
וְהַנַעֲרָה, whanaɣarah
תַחַת, taħat
בְּשַׁעַר־הַמֶלֶךְ, bšaɣar־hamelex
הַנִמְצְאִים, hanimṣ'iym
מִבֵּית, mibeyt
אֲשֶׁר־בְּשׁוּשָׁן, 'ašer־bššan
הַכְּתָב, haktav
וּמָדַי, maday
לָבוֹֹז, lavwoz
בְּנֵי, bney
כִּלְשׁוֹֹנוֹֹ, kilšwonwo
לָתֵת, latet
אֶת־הַיְהוּדִים, 'et־hayhdiym
הָיְתָה, haytah
בַּיָמִים, bayamiym
יְהוּדִי, yhdiy
בְּכָל־שָׁנָה, bxal־šanah
מֵעַל, meɣal
הִנֵה, hineh
וקבל, wqvl
וְקִבֵּל, wqibel
וְעָשֹׂה, wɣaSoh
הֲתָךְ, hatax
הָהֵם, hahem
מִשֹׁמְרֵי, mišomrey
אֶל־שׁוּשַׁן, 'el־ššan
נִתְנָה, nitnah
בִּלְבוּשׁ, bilvš
בַּמֶלֶךְ, bamelex
שָׂמֵחַ, Sameħa
וַיְבֻקַשׁ, wayvuqaš
וַיְבַקֵשׁ, wayvaqeš
בִּשְׁנַת, bišnat
קִיְמוּ, qiym
יָצְאוּ, yaṣ'
מָנוֹֹת, manwot
אֶל־כָּל־הַיְהוּדִים, 'el־kal־hayhdiym
יָדוֹֹ, yadwo
נֹכַח, noxaħ
יַעֲבוֹֹר, yaɣavwor
בָּהֶם, bahem
בָהֶם, vahem
וְכַאֲשֶׁר, wxa'ašer
וּמִשְׁלוֹֹחַ, mišlwoħa
בִּרְחוֹֹב, birħwov
בְּמִשְׁתֵה, bmišteh
מֵהֹדוּ, mehod
יֵעָשֶׂה, yeɣaSeh
קָרָהוּ, qarah
הַמְלָאכָה, hamla'xah
מְקוֹֹם, mqwom
טַף, ṭaf
וּבְכָל־מְדִינָה, vxal־mdiynah
חֲמִשִׁים, ħamišiym
אֵבֶל, 'evel
אָבֵל, 'avel
בָּה, bah
בְּאָמְרָם, b'amram
באמרם, v'mrm
אֲשֶׁר־בְּשַׁעַר, 'ašer־bšaɣar
לָאִישׁ, la'iyš
רֹכְבֵי, roxvey
וַיִמָצֵא, wayimaṣe'
אֶל־שַׁעַר, 'el־šaɣar
וְעַל־זַרְעָם, wɣal־zarɣam
וַיִקָרְאוּ, wayiqar'
קִיַם, qiyam
גָלוּי, galy
שׁוּשָׁן, ššan
אֶת־דְבַר, 'et־dvar
הַסַף, hasaf
הַגוֹֹרָל, hagworal
וַיָסַר, wayasar
עוֹֹד, ɣwod
הַבִּיתָן, habiytan
ביהודיים, vyhwdyym
וַיוֹֹשֶׁט, waywošeṭ
כְּיַד, kyad
וְנָתוֹֹן, wnatwon
וְאֶת־הַסוּס, w'et־hass
וּבְהַגִיעַ, vhagiyɣa
וְרָאִיתִי, wra'iytiy
וְהָרֹג, wharog
וְהֶרֶג, whereg
לְהַרְאוֹֹת, lhar'wot
תָלוּ, tal
אֶת־טַבַּעְתוֹֹ, 'et־ṭabaɣtwo
בְּתוּלוֹֹת, btlwot
וַיִלְבַּשׁ, wayilbaš
וַיַלְבֵּשׁ, wayalbeš
הַפֻּרִים, hapuriym
וְשָׂרֵי, wSarey
וָתֶרֶשׁ, watereš
אִם, 'im
מִלִפְנֵי, milifney
כִּדְבַר, kidvar
פַּתְשֶׁגֶן, patšegen
מְמוּכָן, mmxan
שִׂמְחָה, Simħah
שָׁלוֹֹם, šalwom
וְעַמִי, wɣamiy
גִדְלוֹֹ, gidlwo
וַיִתְנָה, wayitnah
אֲשֶׁר־הֵכִין, 'ašer־hexiyn
הַפּוּרִים, hapriym
אִם־מָצָאתִי, 'im־maṣa'tiy
וַתַעַן, wataɣan
אֶת־הַלְבוּשׁ, 'et־halvš
כָּל־אִישׁ, kal־'iyš
סְרִיס, sriys
וַתִלָקַח, watilaqaħ
וְעַד־קָטָן, wɣad־qaṭan
גָדוֹֹל, gadwol
גָדוֹֹל, gadwol
לְהִנָתֵן, lhinaten
לְכָל־שָׂרָיו, lxal־Sarayw
פּוּר, pr
וּבְהִקָבֵץ, vhiqaveṣ
הַכֶּסֶף, hakesef
יִנָתֵן, yinaten
דִבַּרְתָ, dibarta
לְמִגָדוֹֹל, lmigadwol
הָעַמִים, haɣamiym
גָבֹהַ, gavoha
אוּכַל, 'xal
וְהַדָת, whadat
אֶעֱשֶׂה, 'eɣeSeh
חֹדֶשׁ, ħodeš
הוֹֹלֵךְ, hwolex
כְּכָל־אֲשֶׁר־צִוָּה, kxal־'ašer־ṣiah
צִוָּה, ṣiah
אֶל־בֵּיתוֹֹ, 'el־beytwo
פָּרַס, paras
וַתְצַוֵּהוּ, watṣaeh
בְּכָל־מְדִינָה, bxal־mdiynah
יוֹֹשֵׁב, ywošev
בַּת־אֲבִיחַיִל, bat־'aviyħayil
בַת־אֲבִיחַיִל, vat־'aviyħayil
חֲמֵשׁ, ħameš
הַפְּנִימִית, hapniymiyt
הַשְׁלִישִׁי, hašliyšiy
נַעֲרֵי, naɣarey
וְתִנָתֵן, wtinaten
וַתִנָתֵן, watinaten
וְהָעִיר, whaɣiyr
עִם־הַמֶלֶךְ, ɣim־hamelex
מְאֹד, m'od
וְנָשִׁים, wnašiym
לְבַדוֹֹ, lvadwo
כָּכָה, kaxah
נִמְכַּרְנוּ, nimkarn
לְבַת, lvat
מְשָׁרְתָיו, mšartayw
יִכָּתֵב, yikatev
לְהֵעָשׂוֹֹת, lheɣaSwot
לְכָל־הָעַמִים, lxal־haɣamiym
מַגִיעַ, magiyɣa
הַנַעֲרָה, hanaɣarah
הִגִיעַ, higiyɣa
רֹאֶה, ro'eh
רָאָה, ra'ah
חֵמָה, ħemah
מִלְפָנָיו, milfanayw
הָאֲחַשְׁתְרָנִים, ha'aħaštraniym
יֹשֵׁב, yošev
הַפַּרְתְמִים, hapartmiym
לִשְׁתוֹֹת, lištwot
וַיַגֵד, wayaged
הֶגְלָה, heglah
הָגְלָה, haglah
וְאַבֵּד, w'abed
מִי, miy
מַה, mah
מֶה, meh
הַיוֹֹם, haywom
לָדַעַת, ladaɣat
וְאַרְגָמָן, w'argaman
זֶה, zeh
שַׁעַר־הַמֶלֶךְ, šaɣar־hamelex
מְדִינוֹֹת, mdiynwot
כִּכְתָבָם, kixtavam
שָׂרֵי, Sarey
וַיִמָלֵא, wayimale'
וְגָדוֹֹל, wgadwol
הַדְבָרִים, hadvariym
חֳדָשִׁים, ħadašiym
עַל־מָרְדֳכָי, ɣal־mardaxay
