list, Map1
הַקוֹֹצְרִים, haqwot͡sriym
כַלָתָה, xalatah
כַּלָתָה, kalatah
עִמוֹֹ, ʕimwo
וְזֹאת, wzo't
וְהָלַכְתְּ, whalaxt
וְהָלַכְתִּ, whalaxti
וַתְּלַקֵט, watlaqeṭ
ואדע, w'dʕ
וְכַלֹתֶיהָ, wxaloteyha
אַל, 'al
אַחֲרֶיךָ, 'aħareyxa
עָלַיִךְ, ʕalayix
מָרָא, mara'
וַתְּשִׁתֵהוּ, watšitehu
וַתֹּתַר, watotar
אֲשֶׁר־אֲהֵבַתֶךְ, 'ašer־'ahevatex
עֵינַיִךְ, ʕeynayix
לַחֲסוֹֹת, laħaswot
הַנְעָרִים, hanʕariym
וְאָכַלְתְּ, w'axalt
וּבֵינֵךְ, uveynex
וֵאלֹהַיִךְ, we'lohayix
הַקֹצְרִים, haqot͡sriym
אִמָה, 'imah
וְאִמֵךְ, w'imex
תְּמוֹֹל, tmwol
וַיִלָפֵת, wayilafet
וְיִקָרֵא, wyiqare'
אֶת־הַמָקוֹֹם, 'et־hamaqwom
עַל־לֵב, ʕal־lev
דִּבֶּר־בֹּעַז, diber־boʕaz
וְכָל־הָעָם, wxal־haʕam
וְשַׂלְמוֹֹן, wsalmwon
לְעָזְבֵךְ, lʕazvex
לִינִי, liyniy
בְּבֵית, bveyt
עֹבֵר, ʕover
אֲבִי־יִשַׁי, 'aviy־yišay
אֶל־בֵּיתֶךָ, 'el־beytexa
לְדַבֵּר, ldaber
וְגִלִית, wgiliyt
הָעֲרֵמָה, haʕaremah
אֵלֵךְ, 'elex
מְלֵאָה, mle'ah
אֲשֶׁר־יָלְדָה, 'ašer־yaldah
כְּעֶשֶׂר, kʕeser
[וְשָׁכָבְתְּ], [wšaxavt]
כְּרָחֵל, kraħel
שְׁבָה־פֹּה, švah־poh
זֹרֶה, zoreh
אֲמָתֶךָ, 'amatexa
מִן־הַצְבָתִים, min־hat͡svatiym
וַתִּשְׁתַּחוּ, watištaħu
לְאָחִינוּ, l'aħiynu
אֶת־נַחֲלָתִי, 'et־naħalatiy
הֱיוֹֹת, heywot
לְמִי, lmiy
לָתֵת, latet
מְקוֹֹמוֹֹ, mqwomwo
וַיֹאכַל, wayo'xal
וַיהוָה, wayhwah
מֵאֲשֶׁר, me'ašer
וַתִּשְׂבַּע, watisbaʕ
לְכַלָתָה, lxalatah
כִּי־אָמַר, kiy־'amar
לְכִי, lxiy
הֵרָיוֹֹן, heraywon
הִנֵה, hineh
הָעֳמָרִים, haʕamariym
לֵכְןָ, lexna
בְחֵיקָה, vħeyqah
אָמַר, 'amar
עַל־פָּנֶיהָ, ʕal־paneyha
מָכְרָה, maxrah
לְבִלְתִּי־לֶכֶת, lviltiy־lexet
עָשָׂה־לָה, ʕasah־lah
אֶת־יִשָׁי, 'et־yišay
וְעַמִינָדָב, wʕamiynadav
וּפָרַשְׂתָּ, ufarasta
שִׁפְחֹתֶיךָ, šifħoteyxa
ושכבתי, wשxvty
וְיִשַׁי, wyišay
וַתֵּהֹם, watehom
וַתַּעַזְבִי, wataʕazviy
אֶפְרָתִים, 'efratiym
כִּי־הֵמַר, kiy־hemar
אֶת־עַמוֹֹ, 'et־ʕamwo
לְאִישָׁה, l'iyšah
תֵּלְכִי, telxiy
לְכִלְיוֹֹן, lxilywon
מַשְׂכֻּרְתֵּךְ, maskurtex
וְאֶחֳזִי־בָה, w'eħaziy־vah
הֲלֹם, halom
בִּשְׂדֵי, bisdey
דָּבְקָה, davqah
כְּאֵיפָה, k'eyfah
אֵלַי, 'elay
וָסַכְתְּ, wasaxt
נָכְרִיָה, naxriyah
וְעַל־הַתְּמוּרָה, wʕal־hatmurah
עַד־כְּלוֹֹת, ʕad־klwot
אֶל־אֲשֶׁר, 'el־'ašer
אֶקָבֵר, 'eqaver
מִמֶנִי, mimeniy
לָנוּ, lanu
הַנַעַר, hanaʕar
תִקְוָה, tiqwah
קְנֵה־לָךְ, qneh־lax
שֹׁל־תָּשֹׁלוּ, šol־tašolu
בְּעֵינָיו, bʕeynayw
מֹדַעְתָּנוּ, modaʕtanu
יְלָדֶיהָ, yladeyha
יִפְגְּעוּ־בָךְ, yifgʕu־vax
וּכְלֵאָה, uxle'ah
לִיהוּדָה, liyhudah
וּשְׁתֵּי, uštey
עָשִׂיתִי, ʕasiytiy
תּוֹֹלְדוֹֹת, twoldwot
