list, Map1
יְשַׁלֵם, yšalem
שִׁבְעַת, šivɣat
שְׁבֻעַת, švuɣat
שָׁבֻעֹת, šavuɣot
הָעֵדֻת, haɣedut
עֶשְׂרֵה, ɣeSreh
עֲשָׂרָה, ɣaSarah
וַיִתֵן, wayiten
וַיָשֶׁב, wayašev
וַיֵשֶׁב, wayešev
וַיָשָׁב, wayašav
בֹּא, bo'
בָּא, ba'
בָא, va'
מִזְבֵּחַ, mizbeħa
מִזְבַּח, mizbaħ
עַד, ɣad
עֵד, ɣed
לְאַהֲרֹן, l'aharon
אֹהֶל, 'ohel
הַשְׁבִיעִי, hašviyɣiy
וַיָשֶׂם, wayaSem
בְּמִצְרָיִם, bmiṣrayim
בְמִצְרָיִם, vmiṣrayim
בְּמִצְרַיִם, bmiṣrayim
בְמִצְרַיִם, vmiṣrayim
שְׁלֹשָׁה, šlošah
מִמֶנָה, mimenah
וּשְׁנֵי, šney
וְהִנֵה, whineh
אֵלֶה, 'eleh
מַיִם, mayim
מָיִם, mayim
מְאֹד, m'od
סִינָי, siynay
סִינַי, siynay
שָׁנָה, šanah
אֶל־בְּנֵי, 'el־bney
בְּכָל־אֶרֶץ, bxal־'ereṣ
וְהָיוּ, whay
וּבְנֵי, vney
הַהִוא, hahiw'
הַהוּא, hah'
מְאַת, m'at
מֵאֵת, me'et
וַיֵצֵא, wayeṣe'
וְיָצָא, wyaṣa'
בוֹֹ, vwo
בּוֹֹ, bwo
אֶרֶךְ, 'erex
אֹרֶךְ, 'orex
בָאַמָה, va'amah
בָּאַמָה, ba'amah
אֶת־בְּנֵי, 'et־bney
אֶת־בְּנִי, 'et־bniy
וּבֵין, veyn
לֶחֶם, leħem
לָחֶם, laħem
הַקָרֶשׁ, haqareš
הַקֶרֶשׁ, haqereš
בַּמִדְבָּר, bamidbar
עֶשֶׂר, ɣeSer
עָשָׂר, ɣaSar
פֶּתַח, petaħ
אָמָה, 'amah
אַמָה, 'amah
וְאַתָה, w'atah
הָאֹהֶל, ha'ohel
פָּנַי, panay
פָנַי, fanay
פְּנֵי, pney
וְיַעַל, wyaɣal
וַיַעַל, wayaɣal
אֶל־הָעָם, 'el־haɣam
בְּהַר, bhar
בָּהָר, bahar
בָהָר, vahar
שֶׁמֶן, šemen
נִתָן, nitan
נֹתֵן, noten
נָתַן, natan
כָּל־אֲשֶׁר, kal־'ašer
אֶת־יְהוָה, 'et־yhwah
כֹּה, koh
כֹה, xoh
אַרְבָּעָה, 'arbaɣah
וְשַׂמְתָ, wSamta
יְרִיעֹת, yriyɣot
אֱלֹהֶיךָ, 'eloheyxa
וְכֹל, wxol
יוּמָת, ymat
הַקָנִים, haqaniym
אֶת־הַשֻׁלְחָן, 'et־hašulħan
וּבְיוֹֹם, vywom
וּבַיוֹֹם, vaywom
הָהָר, hahar
הַיָם, hayam
הַמִשְׁחָה, hamišħah
וַיֶחֱזַק, wayeħezaq
וַיַחֲזֶק, wayaħazeq
וַיְחַזֵק, wayħazeq
וְצִפִּיתָ, wṣipiyta
הַדָבָר, hadavar
לַעֲשׂוֹֹת, laɣaSwot
יָדוֹֹ, yadwo
וּבָנָיו, vanayw
כָל־הָעָם, xal־haɣam
כָּל־הָעָם, kal־haɣam
אֲדֹנִי, 'adoniy
אַדְנֵי, 'adney
אֲדֹנָי, 'adonay
יִהְיוּ, yihy
אֶת־עַמִי, 'et־ɣamiy
לָעָם, laɣam
לְעַם, lɣam
לְעָם, lɣam
אֶת־מִצְרַיִם, 'et־miṣrayim
אֶת־מִצְרָיִם, 'et־miṣrayim
לֻלָאֹת, lula'ot
לֻלְאֹת, lul'ot
הֵם, hem
בִּשְׂדֵה, biSdeh
בַּשָׂדֶה, baSadeh
בַשָׂדֶה, vaSadeh
וְאֶת־כָּל־כֵּלָיו, w'et־kal־kelayw
מֶלֶךְ, melex
הַיְאֹר, hay'or
אֶל־אַהֲרֹן, 'el־'aharon
יִתְרוֹֹ, yitrwo
וּמָשַׁחְתָ, mašaħta
רָחְבּוֹֹ, raħbwo
אַמוֹֹת, 'amwot
וְקִדַשְׁתָ, wqidašta
חֲמֵשׁ, ħameš
חָמֵשׁ, ħameš
חְמֵשׁ, ħmeš
לְדֹרֹתֵיכֶם, ldoroteyxem
שָׁמָה, šamah
מִפָּנָי, mipanay
מִפְּנֵי, mipney
וְאֶת־בָּנָיו, w'et־banayw
הֵבִיאוּ, heviy'
לָמָה, lamah
לָמָה, lamah
לְמֹשֶׁה, lmošeh
כַּבֵּד, kabed
כָּבֵד, kaved
מֵאוֹֹת, me'wot
אֶת־הַבַּדִים, 'et־habadiym
וּמֹשֶׁה, mošeh
וְשַׁתִי, wšatiy
וּשְׁתֵי, štey
אָרְכּוֹֹ, 'arkwo
עַל־שְׁתֵי, ɣal־štey
לַמִשְׁכָּן, lamiškan
מָחָר, maħar
אֶל־אֶרֶץ, 'el־'ereṣ
לֻחֹת, luħot
הַזָהָב, hazahav
וְגַם, wgam
מַצוֹֹת, maṣwot
הַזֹאת, hazo't
בְּעֵינַי, bɣeynay
בְּעֵינֵי, bɣeyney
בְּעֵינָי, bɣeynay
קֹמָתוֹֹ, qomatwo
לְשָׁרֵת, lšaret
וְאָמַרְתָ, w'amarta
הָיוּ, hay
הֱיוּ, hey
הִנְנִי, hinniy
הִנֵנִי, hineniy
קְלָעִים, qlaɣiym
שָׁמֹעַ, šamoɣa
שָׁמַע, šamaɣ
שְׁמַע, šmaɣ
שֹׁמֵעַ, šomeɣa
שֵׁמַע, šemaɣ
תִהְיֶה, tihyeh
תִהְיֶה, tihyeh
לִבְנִי, livniy
לִבְנֵי, livney
אַחֲרֵי, 'aħarey
אֲחֹרֵי, 'aħorey
מִתַחַת, mitaħat
מִתָחַת, mitaħat
שׁוֹֹר, šwor
שׁוֹֹר, šwor
חֹשֵׁב, ħošev
לִפְאַת, lif'at
מִבַּיִת, mibayit
מִבֵּית, mibeyt
יוֹֹם, ywom
וַיְצַף, wayṣaf
מוֹֹת, mwot
וַאֲנִי, wa'aniy
אֵין, 'eyn
קוֹֹל, qwol
בְּשָׁנָה, bšanah
בַּשָׁנָה, bašanah
לָשֵׂאת, laSe't
קְטֹרֶת, qṭoret
בְּכֹל, bxol
מִי, miy
הַחֹשֶׁן, haħošen
הָיָה, hayah
הֱיֵה, heyeh
לְפָנֶיךָ, lfaneyxa
עוֹֹד, ɣwod
קְרָשִׁים, qrašiym
קְצוֹֹת, qṣwot
רַק, raq
הָאֵלֶה, ha'eleh
אֶת־הַמִשְׁכָּן, 'et־hamiškan
עַמוֹֹ, ɣamwo
עִמוֹֹ, ɣimwo
אֶל־הָאֱלֹהִים, 'el־ha'elohiym
שָׁנִים, šaniym
שְׁנָיִם, šnayim
שְׁנַיִם, šnayim
תָמִיד, tamiyd
פָּנָיו, panayw
לַחֹדֶשׁ, laħodeš
לְעֵינֵי, lɣeyney
חֲתַן, ħatan
חֹתֵן, ħoten
וְיַעַבְדֻנִי, wyaɣavduniy
וְיַעַבְדֵנִי, wyaɣavdeniy
אָחִיךָ, 'aħiyxa
וַיָקֶם, wayaqem
וַיָקָם, wayaqam
אֲרוֹֹן, 'arwon
עֹלָה, ɣolah
עָלָה, ɣalah
עֲלֵה, ɣaleh
אֶבֶן, 'even
אָבֶן, 'aven
וַאֲשֶׁר, wa'ašer
וְאָשֵׁר, w'ašer
אֹתְךָ, 'otxa
אִתְךָ, 'itxa
אִתָךְ, 'itax
חֲמִשָׁה, ħamišah
הָעֹלָה, haɣolah
הַשָׂדֶה, haSadeh
עַל־אֶרֶץ, ɣal־'ereṣ
אֱלֹהֵיכֶם, 'eloheyxem
נָא, na'
נָא, na'
שָׂרֵי, Sarey
בָאֵשׁ, va'eš
בָּאֵשׁ, ba'eš
בַּקֹדֶשׁ, baqodeš
בְּקֹדֶשׁ, bqodeš
אֱלֹהֵינוּ, 'eloheyn
בְּכוֹֹר, bxwor
אֶת־לֵב, 'et־lev
יֵאָכֵל, ye'axel
יֹאכַל, yo'xal
עַל־הַמִזְבֵּחַ, ɣal־hamizbeħa
לִבּוֹֹ, libwo
מֵעִם, meɣim
