list, Map1
מְקֻטֶרֶת, mquṭeret
לְחִכִּי, lħikiy
עָלַיִךְ, ɣalayix
יָרַד, yarad
עַל־כֵּן, ɣal־ken
וּמַרְאֵיךְ, mar'eyx
לְרֹאשִׁי, lro'šiy
וְאֶל־גִבְעַת, w'el־givɣat
כִּי־חוֹֹלַת, kiy־ħwolat
שָׂמַתְנִי, Samatniy
חִבְּלָה, ħiblah
הסתו, hstw
כֻּלָם, kulam
חֶרֶב, ħerev
תָבוֹֹאִי, tavwo'iy
וּנְבַקְשֶׁנוּ, nvaqšen
שָׁתִיתִי, šatiytiy
תֵימָן, teyman
שִׂפְתוֹֹתָיו, Siftwotayw
וַאֲהָלוֹֹת, wa'ahalwot
נִרְאוּ, nir'
יָצְאָה, yaṣ'ah
כֻּלָךְ, kulax
עֶשֶׁת, ɣešet
הַמַדְרֵגָה, hamadregah
עִם־בְּשָׂמִי, ɣim־bSamiy
צַח, ṣaħ
כְּיֵין, kyeyn
בַּעֲצֵי, baɣaṣey
אֶשְׁכֹּל, 'eškol
תְשׁוּקָתוֹֹ, tšqatwo
וְאֶל־חֶדֶר, w'el־ħeder
שָׁלַח, šalaħ
תִרְעֶה, tirɣeh
דָוִיד, dawiyd
אֵלֶךְ, 'elex
הָרְחֵלִים, harħeliym
מֵרְבָבָה, mervavah
קֹרוֹֹת, qorwot
יָבוּזוּ, yavz
בַחוּץ, vaħṣ
יֵינִי, yeyniy
בַּת־נָדִיב, bat־nadiyv
מֶרְכָּבוֹֹ, merkavwo
אֶחֱזוּ־לָנוּ, 'eħez־lan
מִשְׁכְּנוֹֹת, mišknwot
וְזֶה, wzeh
מַה־תֶחֱזוּ, mah־teħez
וּבְיוֹֹם, vywom
חָתוּם, ħatm
בְּנֵי, bney
יְשֵׁנָה, yšenah
בָּחוּר, baħr
בַּצָהֳרָיִם, baṣaharayim
כָּתְלֵנוּ, katlen
אֶל־הַר, 'el־har
וְיֹאכַל, wyo'xal
נָגִילָה, nagiylah
הַקְצוּבוֹֹת, haqṣvwot
מִבְּנוֹֹת, mibnwot
רֵיחוֹֹ, reyħwo
שְׁחוֹֹרָה, šħworah
[לָךְ], [lax]
שְׁמֶךָ, šmexa
בְּאֵר, b'er
לכי, lxy
הַדוּדָאִים, hadda'iym
הִנֵה, hineh
נִבְנֶה, nivneh
כְּחוּט, kħṭ
בְּאִבֵּי, b'ibey
אָחוֹֹת, 'aħwot
לְקוֹֹלֵךְ, lqwolex
וַאֲסוֹֹבְבָה, wa'aswovvah
מְצָאתִיהוּ, mṣa'tiyh
עַד־שֶׁהַמֶלֶךְ, ɣad־šehamelex
בֶּחָלָב, beħalav
הַסַהַר, hasahar
כְּרֵיחַ, kreyħa
נֹפֶת, nofet
כָּל־מְגָדִים, kal־mgadiym
נָתְנוּ־רֵיחַ, natn־reyħa
בָתֶר, vater
פָּרְחָה, parħah
אֲבַקְשָׁה, 'avaqšah
מִן־הַחֲרַכִּים, min־haħarakiym
אַל־יֶחְסַר, 'al־yeħsar
אֶתֵן, 'eten
מִי־זֹאת, miy־zo't
כָּל־רָאשֵׁי, kal־ra'šey
כַּחַמָה, kaħamah
קָשָׁה, qašah
עֵת, ɣet
יִזְלוּ, yizl
וּמִדְבָּרֵיךְ, midbareyx
וְנֶחֱזֶה־בָּךְ, wneħezeh־bax
נֹטְפוֹֹת, noṭfwot
תִטֹפְנָה, tiṭofnah
סוּגָה, sgah
מֶלֶךְ, melex
רֵעִים, reɣiym
הַכֹּפֶר, hakofer
לַכְּרָמִים, lakramiym
אִם־חוֹֹמָה, 'im־ħwomah
לְבָנוֹֹן, lvanwon
נָשְׂאוּ, naS'
[בְּאַחַת], [b'aħat]
אֶנְהָגֲךָ, 'enhagaxa
שֶׁכָּכָה, šekaxah
נָאווּ, na'w
כִּי־קוֹֹלֵךְ, kiy־qwolex
הַגֶשֶׁם, hagešem
בַּמֶלֶךְ, bamelex
גַם־יְשָׁנִים, gam־yšaniym
מַרְאֵהוּ, mar'eh
שֶׁמֶן, šemen
דְמֵה־לְךָ, dmeh־lxa
וְנָאוָה, wna'wah
לָנוּ, lan
רֵעִי, reɣiy
עַל־דוֹֹדָה, ɣal־dwodah
וְאָמַר, w'amar
אַף־עַרְשֵׂנוּ, 'af־ɣarSen
בְעֵינָיו, vɣeynayw
בְּרֵכוֹֹת, brexwot
בְּבַעַל, bvaɣal
נָלִינָה, naliynah
גִבֹּרִים, giboriym
לְתַלְפִּיוֹֹת, ltalpiywot
וּכְרָמֵינוּ, xrameyn
מַרְכְּבוֹֹת, markvwot
בְּסַנְסִנָיו, bsansinayw
שִׁיר, šiyr
וְהַגְפָנִים, whagfaniym
הָיָה, hayah
אַרְגָמָן, 'argaman
מַה־נַעֲשֶׂה, mah־naɣaSeh
מֵהַרְרֵי, meharrey
אֲרָיוֹֹת, 'araywot
מַקְשִׁיבִים, maqšiyviym
יָדוֹֹ, yadwo
דָמְתָה, damtah
סָבִיב, saviyv
אִמוֹֹ, 'imwo
צְרוֹֹר, ṣrwor
נִחֲרוּ־בִי, niħar־viy
[רַהִיטֵנוּ], [rahiyṭen]
פִּיהוּ, piyh
הַגִבּוֹֹרִים, hagibworiym
הֵמָה, hemah
מַה־טֹבוּ, mah־ṭov
נַזְכִּירָה, nazkiyrah
בָּא, ba'
שִׂימֵנִי, Siymeniy
דְבַשׁ, dvaš
וְיָדַי, wyaday
דַמָשֶׂק, damaSeq
עִם־דִבְשִׁי, ɣim־divšiy
בַּשׁוּלַמִית, bašlamiyt
שַׂלְמֹתַיִךְ, Salmotayix
