list, Map1
הַפָּר, hapar
אֶת־הַבָּיִת, 'et־habayit
אֶת־הַבַּיִת, 'et־habayit
חֻקַת, ħuqat
וְאָמַרְתָּ, w'amarta
וְנָתַתִּי, wnatatiy
יִגָּאֵל, yiga'el
יִגְאַל, yig'al
יִתֵּן, yiten
אֶת־מֹשֶׁה, 'et־mošeh
מִן־הָעוֹֹר, min־haʕwor
לָבָן, lavan
לְבֵן, lven
לָהֶם, lahem
מִצְרַיִם, mit͡srayim
מִצְרָיִם, mit͡srayim
אֵלָיו, 'elayw
עַמֶךָ, ʕamexa
עִמָךְ, ʕimax
לֶחֶם, leħem
אֶת־הָעֹלָה, 'et־haʕolah
אַחַת, 'aħat
וְהִזָה, whizah
לְבָנָה, lvanah
לְבֹנָה, lvonah
הַזֶה, hazeh
וְנִסְלַח, wnislaħ
שְׁנֵי, šney
שְׁנִי, šniy
שָׁנִים, šaniym
שְׁנָיִם, šnayim
וַיִקַח, wayiqaħ
לַחֹדֶשׁ, laħodeš
פְּעָמִים, pʕamiym
הַנֶתֶק, haneteq
וַיֵצֵא, wayet͡se'
וְיָצָא, wyat͡sa'
וְסָמַךְ, wsamax
וְאֶת־הַחֵלֶב, w'et־haħelev
זֶבַח, zevaħ
יִקָח, yiqaħ
יִקַח, yiqaħ
וַעֲשִׂיתֶם, waʕasiytem
לְדֹרֹתֵיכֶם, ldoroteyxem
בָּם, bam
בְּבֵית, bveyt
בַּבָּיִת, babayit
בַּבַּיִת, babayit
יוֹֹם, ywom
לִי, liy
וַיַקְרֵב, wayaqrev
וַיִקְרַב, wayiqrav
שְׁתֵּי, štey
מִדַּם, midam
מֵאֶרֶץ, me'eret͡s
בְּשָׂרוֹֹ, bsarwo
קָרְבָּן, qarban
קָרְבַּן, qarban
וּבָנָיו, uvanayw
וּבֵין, uveyn
בְּאֶצְבָּעוֹֹ, b'et͡sbaʕwo
בְאֶצְבָּעוֹֹ, v'et͡sbaʕwo
הַקֹדֶשׁ, haqodeš
יִהְיוּ, yihyu
הַזָב, hazav
אוֹֹתָם, 'wotam
מֵהֶם, mehem
תֹּאכַל, to'xal
תֵּאָכֵל, te'axel
תֹּאכֵל, to'xel
תֹאכֵל, to'xel
תֵאָכֵל, te'axel
הַשְׁמִינִי, hašmiyniy
תְּנוּפָה, tnufah
תְנוּפָה, tnufah
מוּם, mum
הַיֹבֵל, hayovel
שַׁבָּתוֹֹן, šabatwon
יוּמָת, yumat
מֵאִשָׁי, me'išay
מֵאִשֵׁי, me'išey
וַיִתֵּן, wayiten
דַּם, dam
דָּם, dam
שַׁבַּת, šabat
