list,           Map1
לָהֶם,            lahem
וְאָנֹכִי,          w'anoxi
אִם,             im
לְבַדִי,           lvadi
וְזֶה,            wze
בִּינָה,           biyna
אָמַר,            amar
אֹמַר,            omar
אַחַת,            aħat
לָנֶצַח,           lanet͡saħ
יָדִי,            yadi
לְהַגִיד,          lhagiyd
וְיָשָׁר,           wyašar
לִבִּי,            libi
כֻּלָם,            kulam
פָּנָיו,           panaw
נְחוּשָׁה,          nħuša
תִמְצָא,           timt͡sa'
תִמָצֵא,           timat͡se'
תִקְוָה,           tiqwa
וְעֵינַי,          wʕeynay
וְעֵינֵי,          wʕeyney
רַבִּים,           rabim
הַנַעֲמָתִי,         hanaʕamati
מֵרָע,            meraʕ
וָאִמָלְטָה,         wa'imalṭa
תָבֹא,            tavo'
וְאֵינֶנוּ,         w'eynenu
רָמָה,            rama
בְּשָׂרִי,           bsari
בַּמִשְׁפָּט,          bamišpaṭ
פַּחַד,            paħad
אֵלַי,            elay
רֵעָי,            reʕay
רֵעֵי,            reʕey
רֵעִי,            reʕi
בָּא,             ba'
יֵדָע,            yedaʕ
יָדַע,            yadaʕ
עָנָן,            ʕanan
וַיָבֹאוּ,          wayavo'u
מִדְבָּר,           midbar
מְדַבֵּר,           mdaber
יָבוֹֹא,           yavwo'
הַשָׂדֶה,           hasade
מִמְךָ,            mimxa
דֵעִי,            deʕi
וְאִישׁ,           w'iš
רַק־אֲנִי,         raq-ani
לְבוּשׁ,           lvuš
אֶהְיֶה,           ehye
מָה,             ma
תְהוֹֹם,           thom
טָרַף,            ṭaraf
טֹרֵף,            ṭoref
וַיָבֹא,           wayavo'
תִרְאֶה,           tir'e
בְּעֵינָיו,         bʕeynaw
נִפְלָאוֹֹת,         nifla'ot
סָבִיב,           saviv
מְקוֹֹם,           mqwom
מָקוֹֹם,           maqwom
פָּנִים,           panim
בְּלִי,            bli
עַל,             ʕal
לְיוֹֹם,           lyom
עָפָר,            ʕafar
עֵינָיו,          ʕeynaw
רָאוּ,            ra'u
מִכֶּם,            mikem
בָּקָר,            baqar
בֹּקֶר,            boqer
וּרְאֵה,           ur'e
יָדְךָ,            yadxa
יָדֶךָ,            yadexa
וּמָה,            uma
פְּשָׁעָי,           pšaʕay
פִּשְׁעִי,           pišʕi
מִבֶּטֶן,           mibeṭen
אֹפֶל,            ofel
מִפִּיו,           mipiw
אַתָה,            ata
עָיִן,            ʕayin
לֵבָב,            levav
בֵּיתוֹֹ,           beyto
אָמַרְתִי,          amarti
תָם,             tam
מְאֹד,            m'od
הַיוֹֹם,           haywom
כָּמֹהוּ,           kamohu
עֲלֵיכֶם,          ʕaleyxem
לָאוֹֹר,           la'wor
בַּרְזֶל,           barzel
רַבָּה,            raba
נְחָלִים,          nħaliym
חָכָם,            ħaxam
עַל־אֲנָשִׁים,       ʕal-anašiym
לָאָדָם,           la'adam
יָם,             yam
בְּמִלִים,          bmiliym
סוּפָה,           sufa
אֲבָנִים,          avanim
בְּכֹחוֹֹ,           bxoħo
רָאֲתָה,           ra'ata
הַזֹאת,           hazo't
וּמִסְפַּר,          mispar
בְּאָהֳלוֹֹ,          b'ahalwo
לְקוֹֹל,           lqwol
כֵּן,             ken
כֶּסֶף,            kesef
מִפְּנֵי־חֹשֶׁךְ,       mipney-ħošex
בָּתֵיהֶם,          bateyhem
בָתֵיהֶם,          vateyhem
צְעָדַי,           t͡sʕaday
צַעֲדֵי,           t͡saʕadey
פִּיךָ,            pixa
עָרוֹֹם,           ʕarom
בְּיָדֶךָ,           byadexa
בְּיָדְךָ,           byadxa
כֻּלְכֶם,           kulxem
וְהָיָה,           whaya
הַלָיְלָה,          halayla
הַלַיְלָה,          halayla
הַיָם,            hayam
לְיָמִים,          lyamim
אֲחֵיהֶם,          aħeyhem
אֲחִיהֶם,          aħihem
וְנַפְשׁוֹֹ,          wnafšo
פָּרַץ,            parat͡s
דֶרֶךְ,            derex
דַלְתֵי,           daltey
וּתְהִי,           uthi
וַתְהִי,           wathi
עָלֶיהָ,           ʕaleyha
עֲלֵיהֶם,          ʕaleyhem
הִכּוּ,            hiku
גֶבֶר,            gever
יִקָח,            yiqaħ
צַדִיק,           t͡sadiq
הִיא,            hi'
כֹּחַ,             koaħ
בְּיָדוֹֹ,           byadwo
בִּטְנִי,           biṭni
אָכְלָה,           axla
שְׁחָקִים,          šħaqiym
וְהוֹֹדִיעֵנִי,       whodiʕeni
וּשְׁתַיִם,          štayim
דַרְכָּם,           darkam
מָוֶת,            mawet
בָּה,             ba
יִשְׁמָע,           yišmaʕ
יִשְׁמַע,           yišmaʕ
בְּבֹר,            bvor
אַחֲרָיו,          aħaraw
אֲנָשִׁים,          anašim
בֵּית,            beyt
בַּיִת,            bayit

אַרְצָה,           art͡sa
בְּשָׂרוֹֹ,           bsaro
מִבְּלִי,           mibli
לָשׁוֹֹן,           lašon
לְשׁוֹֹן,           lšon
יָכִין,           yaxin
כֻּלָה,            kula
כָּלָה,            kala
יָשִׂימוּ,          yasim
שְׁמַע־לִי,         šmaʕ-li
יֶאֱסֹף,           ye'esof
שְׁלֹשֶׁת,           šlošet
בִּטְנוֹֹ,           biṭno
גַם־אֲנִי,         gam-ani
שָׁמְעָה,           šamaʕ
חִנָם,            ħinam
יָדַעְתָ,           yadaʕta
וְעַל,            wʕal
מִמֶנָה,           mimena
טוֹֹב,            ṭov
רֶגַע,            regaʕ
רָגַע,            ragaʕ
מֵעֵבֶר,           meʕever
לֶחֶם,            leħem
עֲרוּמִים,         ʕarumim
זְכֹר,            zxor
קֹלוֹֹ,            qolo
בְּנֵי,            bney
מָטָר,            maṭar
כַּפְּךָ,            kapxa
נָכוֹֹן,           naxon
דְרָכֶיךָ,          draxexa
עַצְמוֹֹתָיו,        ʕat͡smotaw
גַם,             gam
אִשָׁה,            iša
אַךְ,             ax
פִּי,             pi
לְפָנָיו,          lfanaw
אַף־אֲנִי,         af-ani
פִּתְאֹם,           pit'om
אִמִי,            imi
כַּמָה,            kama
טָמוּן,           ṭamun
צֹפַר,            t͡sofar
מִמָעַל,           mimaʕal

אִם־אֶרְאֶה,        im-er'e
לְמַעַן,           lmaʕan
תַחְתֶיהָ,          taħteyha

קֹלוֹֹת,           qolot
רָעָה,            raʕa
רֹעֶה,            roʕe
פַּעֲמַיִם,          paʕamayim
דִין,            din
צִדְקֶךָ,           t͡sidqexa
בִּלְבָבֶךָ,          bilvavexa
נִתְנָה,           nitna
דָבְקָה,           davqa
סוּר,            sr
מִלֵא,            mile'
מָלֵא,            male'
הֵסִיר,           hesir
יִקָחֵהוּ,          yiqaħe
וְכֹל,            wxol
שַׁעַר,            šaʕar
מֵסִיר,           mesir
יַאֲמִין,          ya'amin
אִם־אַתָה,         im-ata
חֻקִי,            ħuqi
שִׁבְעַת,           šivʕat
נָהָר,            nahar
וְדֶרֶךְ,           wderex
אֱזָר־נָא,         ezar-na'
צַר,             t͡sar
אֲבוֹֹתָם,          avotam
חָדְלוּ,           ħadlu
נֹטֶה,            noṭe
רַבּוֹֹת,           rabwot
עָשִׂיתָ,           ʕasiyta
כְּמוֹֹ,            kmo
שָׁנָה,            šana
הֲטוֹֹב,           haṭov
זְכָר־נָא,         zxar-na'
יֵרַע,            yeraʕ
יָרֹעַ,            yaroaʕ
רָחֲקָה,           raħaqa
יֵשׁ,             yeš
כַּבֹּקֶר,           kaboqer
כַּבָּקָר,           kabaqar
הָאִישׁ,           ha'iyš
יָשָׁר,            yašar
כַּגַנָב,           kaganav
יֹאבֵדוּ,          yo'ved
לְפָנִים,          lfanim
מָתַי,            matay
כָּל־אָדָם,         kol-adam

וְשֹׁרֶשׁ,           wšoreš
מְעָט,            mʕaṭ
בְּרוּחַ,           bruaħ
טוֹֹבָה,           ṭova
סָגוּר,           sagur
מִרְעֵהוּ,          mirʕehu
כֹּחוֹֹ,            koħo
בְּךָ,             bxa
שִׁנָיו,           šinaw
כָּעֵץ,            kaʕet͡s
דִבַּרְתִי,          dibarti
יָדָיו,           yadaw
קָרָאתִי,          qara'ti
יֹסִיף,           yosif
בְּעַד,            bʕad
יוֹֹמוֹֹ,           yomo
יִבְרָח,           yivraħ
רָחָב,            raħav
כְּבוֹֹדִי,          kvodi
וּמִיַד,           umiyad
עָנִי,            ʕani
יִשָׁקֵל,           yišaqel
בִּרְכַּת,           birkat
בֵּרַכְתָ,           beraxta
אֶבֶן,            even
לְמֶלֶךְ,           lmelex
יְדֵיהֶם,          ydeyhem
וּמְשֹׁאָה,          mšo'a
בְּכָל־זֹאת,        bxol-zo't
יִתְהַלָךְ,          yithalax
שׁוֹֹלָל,           šolal
אֲתוֹֹנוֹֹת,         atonot
מֵאֵת,            me'et
זְרוֹֹעַ,           zroaʕ
מֵעֹשֵׂהוּ,          meʕosehu
הָיוּ,            hayu
אֲשִׁיבֶנוּ,         ašivenu
הֲיֵשׁ,            hayeš
כָּל־יְמֵי,         kol-ymey
תְמוּרָתוֹֹ,         tmurato
כֻּלוֹֹ,            kulo
אֶרְאֶה,           er'e
בְּתוֹֹךְ,           btox
רֹאשׁ,            ro'š
טָהוֹֹר,           ṭahor
