list, Map1
רֵעָי, reʕay
רֵעֵי, reʕey
רֵעִי, reʕi
וַיֹצֵא, wayot͡se'
וַיֵצֵא, wayet͡se'
בָּא, ba'
הִנֵה־נָא, hine־na'
יֵדָע, yedaʕ
יָדַע, yadaʕ
עֲנַן, ʕanan
עָנָן, ʕanan
וַיָבֹאוּ, wayavo'
מִדְבָּר, midbar
מְדַבֵּר, mdaber
יָבוֹֹא, yavwo'
הַשָׂדֶה, hasade
וִירֵא, wiyre'
וירא, wyr'
וַיַרְא, wayar'
מִמְךָ, mimxa
מִמֶךָּ, mimeka
דֵעִי, deʕi
דֵעִי, deʕi
אָרְחוֹֹת, arħwot
וְאִישׁ, w'iyš
אֶל־אֱלוֹֹהַ, el־'elwoha
אֶל־אֱלוֹֹהַ, el־'elwoha
רַק־אֲנִי, raq־'ani
בְּאַפּוֹֹ, b'apwo
לְבוּשׁ, lvš
אֶהְיֶה, ehye
מָה, ma
הֶבֶל, hevel
הָבֶל, havel
נֵדָע, nedaʕ
תְהוֹֹם, thwom
תְהוֹֹם, thwom
טָרַף, ṭaraf
טֹרֵף, ṭoref
טָרֶף, ṭaref
וְיָבֹא, wyavo'
וַיָבֹא, wayavo'
תַחְתָם, taħtam
תִרְאֶה, tir'e
אַיָה, aya
אַיֵה, aye
בְעֵינָיו, vʕeynayw
בְּעֵינָיו, bʕeynayw
נִפְלָאוֹֹת, nifla'wot
נִפְלְאוֹֹת, nifl'wot
סָבִיב, saviyv
מְקוֹֹם, mqwom
מָקוֹֹם, maqwom
פָנִים, faniym
פָּנִים, paniym
בְּלִי, bli
עַל, ʕal
לְיוֹֹם, lywom
עָפָר, ʕafar
עֵינָיו, ʕeynayw
רֻאוּ, ru'
רָאוּ, ra'
מִכֶּם, mikem
בֹקֶר, voqer
בָּקָר, baqar
בֹּקֶר, boqer
וּרְאֵה, r'e
יָדְךָ, yadxa
יָדֶךָ, yadexa
מִמֶנוּ, mimen
וּמָה, ma
וּמֶה, me
אֶשָׂא, esa'
פְּשָׁעָי, pšaʕay
פִשְׁעִי, fišʕi
פִּשְׁעִי, pišʕi
מִבֶּטֶן, mibeṭen
אֹפֶל, ofel
מִפִּיו, mipiyw
אָתָה, ata
אַתָה, ata
עַיִן, ʕayin
עָיִן, ʕayin
עֵין, ʕeyn
יָמוּת, yamt
לֵבָב, levav
וַיֹסֶף, wayosef
בֵּיתוֹֹ, beytwo
בֵיתוֹֹ, veytwo
אָמַרְתִי, amarti
תָם, tam
מְאֹד, m'od
הַיוֹֹם, haywom
כָמֹהוּ, xamo
כָּמֹהוּ, kamo
עֲלֵיכֶם, ʕaleyxem
לָאוֹֹר, la'wor
לֵאוֹֹר, le'wor
לְאוֹֹר, l'wor
בַּרְזֶל, barzel
עַד־אֵין, ʕad־'eyn
רַבָּה, raba
נְחָלִים, nħaliym
חֲכַם, ħaxam
חָכָם, ħaxam
עַל־אֲנָשִׁים, ʕal־'anašiym
לְאָדָם, l'adam
לָאָדָם, la'adam
יִדְעָךְ, yidʕax
וְסָר, wsar
גַלְמוּד, galmd
גַלְמוּד, galmd
וְשָׁם, wšam
וְשֵׁם, wšem
בְּדֵי, bdey
בַּדֵי, badey
אֲמָרָיו, amarayw
וְעַיִן, wʕayin
וְעֵין, wʕeyn
שָׂרִים, sariym
עֲלֵי־אָרֶץ, ʕaley־'aret͡s
יַחְשֹׂךְ, yaħsox
יֵחָשֶׂךְ, yeħasex
יָם, yam
הַשׁוּחִי, hašħi
הַדֶרֶךְ, haderex
הַדָרֶךְ, hadarex
הַאֲמֹר, ha'amor
הָאֹמֵר, ha'omer
הֶאָמַר, he'amar
אֶתְבּוֹֹנָן, etbwonan
אֶתְבּוֹֹנֵן, etbwonen
בְּמִלִים, bmiliym
בְמִלִים, vmiliym
סוּפָה, sfa
כִּי־רַב, ki־rav
אֶשְׁמָע, ešmaʕ
יַעֲנֵנִי, yaʕaneni
תָמִים, tamiym
תְמִים, tmiym
לֹא־יָדַע, lo'־yadaʕ
מוֹֹכִיחַ, mwoxiyħa
וְיָקָם, wyaqam
וַיָקָם, wayaqam
הָאֱלֹהִים, ha'elohiym
מְקֹמוֹֹ, mqomwo
עוֹֹרִי, ʕwori
אֲבָנִים, avaniym
כְפִיךָ, xfiyxa
כַּפֶּיךָ, kapeyxa
וְרִב, wriv
וְרֹב, wrov
בְּכֹחוֹֹ, bxoħwo
יַחְדָו, yaħdaw
הַאֲזִינָה, ha'aziyna
יְלוּד, yld
רָאֲתָה, ra'ata
הַזֹאת, hazo't
הֲזֹאת, hazo't
וּמִסְפַּר, mispar
בְּאָהֳלוֹֹ, b'ahalwo
הוֹֹכֵחַ, hwoxeħa
לְקוֹֹל, lqwol
כֵּן, ken
יְשִׁיבֶנוּ, yšiyven
הַחֲרֵשׁ, haħareš
צְעָדַי, t͡sʕaday
צַעֲדֵי, t͡saʕadey
פִיךָ, fiyxa
פִּיךָ, piyxa
עַמִים, ʕamiym
עָרוֹֹם, ʕarwom
כָּסֶף, kasef
כֶּסֶף, kesef
אַלְמָנָה, almana
בְּיָדֶךָ, byadexa
בְיָדֶךָ, vyadexa
בְּיָדְךָ, byadxa
כֻּלְכֶם, kulxem
מִפְּנֵי־חֹשֶׁךְ, mipney־ħošex
וְהָיָה, whaya
בָּתֵיהֶם, bateyhem
בָתֵיהֶם, vateyhem
אֵי־זֶה, ey־ze
הַלָיְלָה, halayla
