list,           Map1

לֹא, lo'
עַל, ʕal
אֵת, et
אֶת, et
מָה, ma
כִּי, ki
אַל, al
אֶל, el
אֵל, el
שֶׁל, šel
אֲשֶׁר, ašer
לְךָ, lxa
לֵךְ, lex
לָךְ, lax
הַמֶלֶךְ, hamelex
אוֹֹ, o
כֹּל, kol
כָּל, kol
גַם, gam
לָנוּ, lanu
אִם, im
אֵם, em
מִלִים, milim
שׁוּרָה, šura
כַּמָה, kama
סָבִיב, saviv
סְבִיב, sviv
בֵּין, beyn
בֵין, veyn
עָלֵינוּ, ʕaleynu
מִסְפָּר, mispar
עוֹֹד, ʕod
שָׁם, šam
לִי, li
לוֹֹ, lo
לוּ, lu
אַךְ, ax
עַד, ʕad
הוּא, hu'
וְאוּלָם, w'ulam


מֵי, mey
מִי, mi
אִישׁ, iš
עַם, ʕam
עִם, ʕim
אָז, az
שְׁלֵמָה, šlema
שְׁלֹמֹה, šlomo
אֵין, eyn
אֶחָד, eħad
אַחַד, aħad
לִפְנֵי, lifney
לְפָנַי, lfanay
הַשָׁחֹר, hašaħor
הַשָׁחַר, hašaħar
אֵשׁ, eš
אַחַת, aħat
פִּתְאֹם, pit'om
אוֹֹר, or
הִנֵה, hine
הֵנָה, hena
אַחֲרֵי, aħarey
וַאֲנִי, wa'aniy

זֶה, ze
אַף, af

תַחַת, taħat
הֵם, hem
עֲלֵי, ʕaley
עָלַי, ʕalay

עָלָיו, ʕalaw
עֵינֵי, ʕeyney
עֵינַי, ʕeynay
עֵינִי, ʕeyni
אֲנִי, aniy
רַב, rav
קוֹֹל, qol
עֵינָיו, ʕeynaw

וְגַם, wgam
כֵן, xen
כַּן, kan
כֵּן, ken
כֻּלוֹֹ, kulo
כָּלוּ, kalu
כֻּלוֹֹ, kulo
יֵדַע, yedaʕ
יָדַע, yadaʕ
אַיֶלֶת, ayelet
הָיֹה, hayo
הָיָה, haya
הֱיֵה, heye
הַלָבָן, halavan
יַמִים, yamim
יָמִים, yamim
מִן, min
לָהֶם, lahem
אֶרֶץ, eret͡s
כֻלָם, xulam
כֻּלָם, kulam
וָמִי, wami
וּמִי, umi
הַנֶשֶׁר, hanešer
עַתָה, ʕata
הַנָהָר, hanahar
אֵלַי, elay
