list,            Map1
מִסְפָּר, mispar
שָׁנִים,           šanim
עֵינִי, ʕeyni
לָנֶצַח,           lanet͡saħ
מִפְּנֵי־חֹשֶׁךְ,       mipney-ħošex
בִּדְמָמָה, bidmama
מָלֵא, male'
זוֹֹ, zo
אִם־לֹא,          im-lo'
וּלְרוּחַ,          ulruaħ
בִּרְכַּת, birkat
הַשָׁחֹר, hašaħor
מִלִים, milim
שָׁלוֹֹם, šalom
בֶּעָפָר,           beʕafar
צַדִיק,           t͡sadiq
שְׁמַע־לִי,         šmaʕ-li
אֶת־אִיוֹֹב,        et-iyov
חָכָם,            ħaxam
וְגֶשֶׁם,           wgešem
יָרֹעַ,            yaroaʕ
לְמַעַן,               lmaʕan
מֵעָלַי,           meʕalay
לָכֵן,            laxen
עָרוֹֹם,           ʕarom
וּשְׂפָתֶיךָ,         sfatexa
מָוֶת, mawet
אִמִי, imi
אֲנָשִׁים,          anašim
וְהוּא,           whu'
עוֹֹד, ʕod
הֵם, hem
רֹאשׁ, ro'š
לָמָה,            lama
נֶהְפַּךְ,           nehpax
פָּעֲרוּ,           paʕaru
מָתַי,            matay
שָׂם,             sam
עֲלֵיהֶם,          ʕaleyhem
מִמֶנָה,           mimena
כֵּן, ken
עָנִי,            ʕani
בָּאוֹֹר,           ba'or
כִּי, ki
וָמִי, wami
לוֹֹ, lo
בָּה, ba
לךָ, lxa
לְפָנַי, lfanay
קָרָאתִי,          qara'ti
עָמָל,            ʕamal
אִי, i
יֹסִיף,           yosif
הָאֵשׁ, ha'eš
נָא, na'
דֶרֶך, derex
וּמָה,            uma
תִמָצֵא,           timat͡se'
אָבַד,            avad
חַסְדוֹֹ,               ħasdo
בַּלַיְלָה, balayla
יִבּוֹֹל,           yibol
עָנָן,            ʕanan
מִזְמוֹֹר,              mizmor
שָׁם, šam
יִתְהַלָךְ,          yithalax
נַפְשִׁי, nafšiy
יַחְדָו, yaħdaw
קוּמִי, qumi
רְשָׁעִים,              ršaʕiym
יִשָׁקֵל,           yišaqel
עַיִן, ʕayin
הָיִיתִי,          hayiti
וּתְהִי,           uthi
וְרוּחַ,           wruaħ
גַם, gam
בֵּית, beyt
עָלֶה, ʕale
וַאֲנִי, wa'aniy
מֵאָז, me'az
וְהָיָה,           whaya
לֶחֶם, leħem
זְרוֹֹעַ,           zroaʕ
בְּנֵי, bney
וְגַם, wgam
עֶשֶׂר,            ʕeser
אַף־אֲנִי,         af-ani
יוֹֹמוֹֹ,           yomo
אַיֶלֶת, ayelet
סוֹֹד, sod
בַּרְזֶל,           barzel
לְבוּשׁ,           lvuš
תָבוֹֹא,           tavo'
שִׁמְךָ,                šimxa
מִשְׁפָּט,           mišpaṭ
עִיר, ʕir
מִרְעֵהוּ,          mirʕehu
חֹרֶשׁ, ħoreš
מְעָט,            mʕaṭ
עֲנַן, ʕanan
וְאוּלָם, w'ulam
כַּן, kan
יְבוּל,           yvul
מָלַך, malax
בַּלָהוֹֹת,          balahot
צִפּוֹֹר, t͡sipor
הֱיֵה, heye
כֻּלוֹֹ, kulo
כַּמָה, kama
כְּמוֹֹ,            kmo
מֵרָע,            meraʕ
שָׁב, šav
יֵצֵא, yet͡se'
שְׂפַת, sfat
יִקָח,            yiqaħ
כָּל, kol
בּוּז,            buz
חֹדֶשׁ, ħodeš
יָשָׁר,            yašar
לְיוֹֹם,           lyom
טָמוּן,           ṭamun
עֹשֶׂה,                ʕose
לְפָנָיו,          lfanaw
דִבַּרְתִי,          dibarti
רֵעָי,            reʕay
אֵלַי, elay
יוֹֹשֵׁב, yošev
וָאִמָלְטָה,         wa'imalṭa
בָּתִים,           batim
שְׁחָקִים,          šħaqiym
עַם, ʕam
כִּי־לֹא,          ki-lo'
יְהִי,            yhi
אַתֶם,            atem
לְבָבִי,           lvavi
עַז, ʕaz
נַפְשׁוֹֹ,           nafšo
עוֹֹמֵד, ʕomed
רַב, rav
לְפָנִים,          lfanim
אֵלֶךְ,            elex
בָּרִיחַ,           bariaħ
הַשָׁחַר, hašaħar
בְּשָׂרוֹֹ,           bsaro
בִּימֵי,           biymey
בְּלֵב, blev
שֶׁמֶשׁ, šemeš
אָז, az
רָאֲתָה,           ra'ata
אֵימָה,           eyma
עִמָדִי,           ʕimadi
לָשׁוֹֹן,           lašon
כֻּלָה,            kula
כַּגַנָב,           kaganav
חִנָם,            ħinam
תִקְוָה,           tiqwa
רָגַע,            ragaʕ
דֵעִי,            deʕi
דִין,            din
הוֹֹד, hod
בֵּיתִי,           beyti
רֹאשׁוֹֹ, ro'šo
אֶת, et
נָקִי, naqi
הַבְּרָכָה, habraxa
כַּאֲשֶׁר, ka'ašer
אֶרְאֶה,           er'e
עוֹֹלָם, ʕolam
צַר,             t͡sar
לָנוּ, lanu
אֵלָיו,           elaw
יָצָא, yat͡sa'
פְּרִי, pri
דֶשֶׁא, deše'
יָמַי,            yamay
צְאִי, t͡s'i
וְנַפְשׁוֹֹ,          wnafšo
וְאֵין,           w'eyn
תַחַת, taħat
עֲלֵיכֶם,          ʕaleyxem
וַיָבֹא,           wayavo'
דִבְרֵי,           divrey
תַחְתֶיהָ,          taħteyha
בְּיָדוֹֹ,           byado
עָלַי, ʕalay
דְמָעוֹֹת, dmaʕot
נֶפֶשׁ, nefeš
מִי, mi
פתְאֹם, pit'om
פַּעֲמַיִם,          paʕamayim
מֵעֵבֶר,           meʕever
רָאֹה, ra'o
עֲרוּמִים,         ʕarumim
אָמַרְתָ,           amarta
בִּלְשׁוֹֹן, bilšon
צֵא, t͡se'
חָשַׁךְ,            ħašax
אֵם, em
יָד, yad
אֹתוֹֹ,            oto
יֵדָע,            yedaʕ
וּשְׁתַיִם,          štayim
כְּמוֹֹ־אֵשׁ,         kmo-eš
לָךְ, lax
עָשָׂה,                ʕasa
בְּכֹחוֹֹ,           bxoħo
הַלָבָן, halavan
יוֹֹדֵעַ, yodeʕa
עֹשָׂה,                ʕosa
לָאָדָם,           la'adam
עֲשֵׂה,                ʕase
רוּחִי,           ruħi
מֵעַל, meʕal
רַבּוֹֹת,           rabot
פִּתֵחַ,            piteħa
הַתֵימָנִי,         hateymani
הִנֵה, hine
חַיָי,            ħayay
עָלֶיךָ,           ʕalexa
אֱנוֹֹשׁ,           enoš
זַךְ,             zax
כָּעֵץ,            kaʕet͡s
לָעַד,            laʕad
כָּל־הַיוֹֹם,            kal-hayom
דָם, dam
עַצְמִי,           ʕat͡smi
בָּנוֹֹת,           banot
שְׁנֵי, šney
אֶרֶץ, eret͡s
לְךָ, lxa
כְּבוֹֹדִי,          kvodi
יָמֶיךָ,           yamexa
עָפָר,            ʕafar
