word, trans
ምሸት, mšät
መጺኦም, mäṣi'om
ወይኒ, wäyni
ካባታቶም, kabatatom
ዝመጹ, zmäṣu
ም, m
ኣምላኽሲ, 'amlaKsi
ጽቡቕ, ṣbuQ
ስምዓኒ, smʕani
ብእግዚኣብሄር, b'gzi'abher
መለሰሉ, mäläsälu
ንዚሐርር, nziħärr
እምነቱ, 'mnätu
ዮናታን, yonatan
ነገስት, nägäst
ኣቦታቱ, 'abotatu
ጕድጓድ, gʷdgʷad
ይበርህ, ybärh
ዝተሸርበት, ztäšärbät
ምፍታው, mftaw
ኰነ, kʷänä
ምስጋና, msgana
ዝስሙ, zsmu
ክትጥለም, ktTläm
ጎይትኦም, goyt'om
ዕረ, ʕrä
ፍቕሪ, fQri
መዓልቲ, mäʕalti
ዝሑው, zħuw
ንእግዚኣብሄር, n'gzi'abher
ብሄራት, bherat
ብርግጽ, brgṣ
ሹም, šum
ናትካ, natka
ኻብቲ, Kabti
ነገሮ, nägäro
መለኸት, mäläKät
ምሉእ, mlu'
ዘሎኹም, zäloKum
ሕጅስ, ħǧs
ገበሮ, gäbäro
ዮሳፋጥ, yosafaT
ተጽሒፉ, täṣħifu
ሳኦልን, sa'oln
ነብያት, näbyat
ብምኻድ, bmKad
ይኹን, yKun
ዓሰርተው, ʕasärtäw
ሊቀ, liqä
ሓላል, ħalal
ገዛይ, gäzay
ሓዉ, ħawu
የሩሳሌም, yärusalem
ሓለቓ, ħaläQa
ዓያሱ, ʕayasu
ሕጂ, ħǧi
ብድሕሪኡ, bdħri'u
ህቦብላ, hbobla
ናይ, nay
ነዞም, näzom
ገጽካ, gäṣka
በብማይ, bäbmay
ኣእዳዎም, 'a'dawom
ክሳዕ, ksaʕ
ደቀሰ, däqäsä
ርኤኹ, r'eKu
ብኡብኡ, b'ub'u
በዚሑ, bäziħu
ከባቢኣን, käbabi'an
ዚገብር, zigäbr
ነውሪዩ, näwriyu
ዝዓበየት, zʕabäyät
ብርሃነ, brhanä
ወይስ, wäys
ደም, däm
ግርማኺ, grmaKi
ዶብ, dob
ሓላቑ, ħalaQu
ልዕሊኦም, lʕli'om
ከምሕረላ, kämħräla
ሽዑ, šʕu
ምስቲ, msti
ቅድሚኡ, qdmi'u
በዛ, bäza
ካህናትን, kahnatn
ከይዱ, käydu
እተዛረቦ, 'täzaräbo
እምኒ, 'mni
ዮርሳሌም, yorsalem
ሰማዕኩ, sämaʕku
ጾራ, ṣora
ንምንታይ, nmntay
ኣቕሓ, 'aQħa
ወይዘሮ, wäyzäro
ኣንበሳ, 'anbäsa
እከይ, 'käy
ገጽ, gäṣ
ብመዓልቲ, bmäʕalti
ዓው, ʕaw
ንጉስን, ngusn
ምድሪ, mdri
ኣይኰንኩን, 'aykʷänkun
ሰትየ’ዶ, sätyä’do
ኣቲ, 'ati
ዳንኤል, dan'el
ክንሰፍራ, knsäfra
ንብረቱ, nbrätu
ኢትዮጲያ, 'ityoPiya
እተዊ, 'täwi
ስለምንታይ, slämntay
ኢሉ, 'ilu
ክደነኒ, kdänäni
አሎኹም, 'äloKum
ንብጻዩ, nbṣayu
ኣበይ, 'abäy
ሰብዓ, säbʕa
ፍቕር’ዩ, fQr’yu
ሞቱ, motu
እንደሞ, 'ndämo
ባህታ, bahta
ብስለት, bslät
ቅድሜኹም, qdmeKum
ህያዋን, hyawan
ምሳካ, msaka
ሚእቲ, mi'ti
ሃገር, hagär
ሰማያት, sämayat
እፈልጥ, 'fälT
እንጣጢዕ, 'nTaTiʕ
ፈርኦን, fär'on
እታ, 'ta
ንጣብ, nTab
ተፋሊጠ, täfaliTä
ርእዩ, r'yu
ከምዚካ, kämzika
ዚዛረብ, zizaräb
ወሲዱ, wäsidu
ፍልስጥኤማውያን, flsT'emawyan
እግሪ, 'gri
ዝአዘዞ, z'äzäzo
ሀብዎም, häbwom
ዓይኒ, ʕayni
ጭፍራ, Čfra
ንዕኡ’ዩ, nʕ'u’yu
ሓባር, ħabar
ግዜ, gze
ኣብዚ, 'abzi
መቐረት, mäQärät
ብስኒት, bsnit
ጸልማት, ṣälmat
ንህዝቢ, nhzbi
ጊብዓ, gibʕa
ለሰ, läsä
ክኢላ, k'ila
ሰፈሩ, säfäru
