word,trans
ተፋሊጠ, täfaliTä
ከምዚካ, kämzika
ንዕኡ’ዩ, nʕ'u’yu
ሓባር, ħabar
ግዜ, gze
መቐረት, mäQärät
ብስኒት, bsnit
ክኢላ, k'ila
ቁናኖይ, qunanoy
ከኣሎ, kä'alo
ጽልኣያ, ṣl'aya
ሳሚ, sami
ወራራት, wärarat
ዲዩ, diyu
ዘሳኒ, zäsani
ልባ, lba
ኣይሕመሞ, 'ayħmämo
እስከባ, 'skäba
ንኸይድ, nKäyd
በዚሕኒሎ, bäziħnilo
ተመስገን, tämäsgän
ታይ, tay
ንገርኒ, ngärni
ሓውሰሉ, ħawsälu
ሽታ, šta
ከናፍራ, känafra
ዘለዋ, zäläwa
ድሕሪት, dħrit
ኣጽኒዕና’ወ, 'aṣniʕna’wä
እዋን, 'wan
ሽምዓ, šmʕa
ንበይኑ, nbäynu
ከጸናንዓ, käṣänanʕa
ገጻ, gäṣa
ንምኽረይ, nmKräy
ከፍቅረኒ, käfqräni
ሰሰልሰለይ, säsälsäläy
ክነብረኒ, knäbräni
ጸማም, ṣämam
ቐያሕ, Qäyaħ
ውጹእ, wṣu'
ክኸይድ, kKäyd
ወዲእኻዮ, wädi'Kayo
ሞይቁኒ, moyquni
ኣፍሪቃ, 'afriqa
ምዉቕ, mwuQ
ሓበሻ, ħabäša
ብጽሒ, bṣħi
ዋጋ, waga
ደሃያ, dähaya
ሃገርክንሽሕን, hagärknšħn
ነዛ, näza
ኣድኪምዋ, 'adkimwa
ይከኣሎ, ykä'alo
ኣጨኒቕኒ, 'aČäniQni
በይንኻ, bäynKa
ሓዘለይ, ħazäläy
እንዳተጎዳእኻ, 'ndatägoda'Ka
ቀረባ, qäräba
ምጭውቲ, mČwti
በሉ, bälu
ሕቕፎኣብ, ħQfo'ab
ሃብኒ, habni
ዉዕቁዕ, wuʕquʕ
ስእሊ, s'li
ተጓይየ, tägʷayyä
ትልለ, tllä
ዘይርስዖ, zäyrsʕo
ኣነ, 'anä
ሕቖአን, ħQo'än
የቐኔለይ, yäQäneläy
በለጸት, bäläṣät
መቂሩ, mäqiru
ቀጸለ, qäṣälä
ንዝሓለፉንዘለና, nzħaläfunzäläna
ዘይብልኪ, zäyblki
ነብስኻየ, näbsKayä
መንነት, männät
ትኪ, tki
ናይዛ, nayza
ኣይተረፍኩን, 'aytäräfkun
ድማ, dma
ወግሐ, wägħä
ዓይና, ʕayna
ኹን, Kun
እዝኒ, 'zni
ሒዛ, ħiza
ሳዕ, saʕ
ክልተ, kltä
ዝኾስኮሶ, zKoskoso
ክተትየ, ktätyä
በሎ, bälo
ታይሞ, taymo
ትርጉም, trgum
ስዉር, swur
መስመስታ, mäsmästa
ኣጽኒዕና, 'aṣniʕna
ገብሩ, gäbru
ኾን, Kon
ሕውነትና, ħwnätna
ኽብረት, Kbrät
ዘይጠዓምናዮ, zäyTäʕamnayo
ቓላ, Qala
በሉለይ, bäluläy
ዘይጠሓሊት, zäyTäħalit
ከይከይድ, käykäyd
ክጸልእ, kṣäl'
ብመንፈስ, bmänfäs
ወዘራዝሮ, wäzärazro
ኢና”, 'ina”
ተስፋይ, täsfay
ውሽጥኻ, wšTKa
ቬሎ, velo
ሕዛብ, ħzab
ይንበር, ynbär
ተሳቕየ, täsaQyä
ዝበካ, zbäka
ታሓላል, taħalal
ደበና, däbäna
ተጣዪሰ, täTayisä
ትዝመኽረካ, tzmäKräka
ከተሳሊ, kätäsali
ሳዕሳዕካ, saʕsaʕka
ፍትውቲ, ftwti
ንፍትሒ, nftħi
ኩን, kun
እቶ, 'to
ዒላመይ, ʕilamäy
ነበረ, näbärä
ደረተይ, därätäy
የለን, yälän
ኩዒተ, kuʕitä
ዘይጭምረረ, zäyČmrärä
ተመኔ, tämäne
ጉርሒ, gurħi
ብድድ, bdd
ኔሩ, neru
ዘይፈልቶ, zäyfälto
ውቃበይ, wqabäy
ገይዱ, gäydu
ተቐይሩ, täQäyru
ደኣ, dä'a
ርሒቕኪ, rħiQki
ተሰናቢተ, täsänabitä
ክባኻየ, kbaKayä
ርሑቕ, rħuQ
ጸብሐ, ṣäbħä
ናይታ, nayta
መዓስ, mäʕas
ክትኣቱ, kt'atu
ድፍዐይ, dfʕäy
ወላዲት, wäladit
ኣብቲ, 'abti
ተፈጢሩ, täfäTiru
ዝበሉ, zbälu
ኣመሌ, 'amäle
ቆርጫጭ, qorČaČ
ዘስተውዓሉ, zästäwʕalu
ኪዳ, kida
ዘይጠዓምክን, zäyTäʕamkn
ክዉን, kwun
ምንባር, mnbar
ቻው, čaw
ዝዓገሶ, zʕagäso
ዝተረፉ, ztäräfu
ንልበይ, nlbäy
ምርኻብ, mrKab
ሃገራ, hagära
ኔረሞ, nerämo
ከዕልላ, käʕlla
ረብሓና, räbħana
ዓቕመይ, ʕaQmäy
ኣብነት, 'abnät
“ኣጆኺ, “'aǧoKi
እንትርፎ, 'ntrfo
በታ, bäta
ኣቢለ, 'abilä
ካልእ, kal'
ኣስፈሃ, 'asfäha
ልዕሊ, lʕli
ኩለንትነኣ, kuläntnä'a
ብኣማን, b'aman
ዓጽዩ, ʕaṣyu
ስማዕ, smaʕ
ኣትን, 'atn
ፍትሒ, ftħi
ኣብርሃም, 'abrham
ክማርኽ, kmarK
ወሰን, wäsän
ዕንባባይ, ʕnbabay
ንዕድል, nʕdl
ክኸዶ, kKädo
ሕንቁቕ, ħnquQ
ንጽኑዕ, nṣnuʕ
እናመሰለት, 'namäsälät
ዘየሳኒ, zäyäsani
ድዩ, dyu
ክምስ, kms
ምኢዙ, m'izu
ብማዕዶ, bmaʕdo
ሰላም, sälam
ናተይ, natäy
ጽላልናይ, ṣlalnay
ጠዓማ, Täʕama
ወሓሉ, wäħalu
መሀነኒ, mähänäni
ዝጠምሮ, zTämro
ሃቢ, habi
ኣይተጥፈኣዮ, 'aytäTfä'ayo
ጼርና, ṣerna
ሕጻባ, ħṣaba
ተመጊባ, tämägiba
ኪሮስ, kiros
ሕብራ, ħbra
ጠባይኪ, Täbayki
ክንዕወት, knʕwät
ብድፋዕና, bdfaʕna
ፍቕሪ’ያ, fQri’ya
ዘይብለለ, zäyblälä
ተላልያ, tälalya
እንዳበልካ, 'ndabälka
ቁሩብ, qurub
ተላሚዳ, tälamida
ታ, ta
እቶም, 'tom
ዙርያኺ, zuryaKi
ንዓይነይ, nʕaynäy
ከብርሃልኪ, käbrhalki
ንቓለይ, nQaläy
ዘንጸላልወኒ, zänṣälalwäni
እዛ, 'za
እንድዮም, 'ndyom
ውረዳ, wräda
ወኒነያ, wäninäya
ብርሃን, brhan
መልእኽቲ, mäl'Kti
ክንደይሞ, kndäymo
ከላምደካ, kälamdäka
አምዚ, 'ämzi
ኮይነ, koynä
በይንኺ, bäynKi
ከሎ, kälo
ገጸይ, gäṣäy
ረኣያ, rä'aya
ሃዋህው, hawahw
ሃብታም, habtam
ኣነስ, 'anäs
ህያብ, hyab
ንእምነትካ, n'mnätka
ከይሓምያኒ, käyħamyani
ኣማን, 'aman
ሌላና, lelana
ዘቕለበ, zäQläbä
ክርእያ, kr'ya
ጓል, gʷal
ሓሶት, ħasot
ጠሊምካ, Tälimka
ሕልፊ, ħlfi
ክብለን, kblän
ኢና, 'ina
ዘይሃስስ, zäyhass
ግን, gn
ይጥዓሞ, yTʕamo
ዝብሎሎ, zblolo
ተሃሰ, tähasä
ርኤ, r'e
ኣለዋ, 'aläwa
ጉርሒዶ, gurħido
ሓው, ħaw
ገዝኡ, gäz'u
ድዩ, dyu
ኣይነበረን, 'aynäbärän
ሓቲተኪ, ħatitäki
ርዓማ, rʕama
ኣብዩኒ, 'abyuni
ሰሓቕኪ, säħaQki
ዋላ, wala
ነዲዱ, nädidu
